አፍሪቃ	África
ጃፓን	Japón
ደቡብ አሜሪካ	América del Sur
ኖርዌይ	Noruega
ኢንግላንድ	Inglaterra
ስኮትላንድ	Escocia
ዌልስ	Gales
ስሜን አየርላንድ	Irlanda del Norte
አየርላንድ ሪፐብሊክ	Irlanda
ሀንጋሪ	Hungría
እስፓንያ	España
አሜሪካ	Estados Unidos
ቤልጅግ	Bélgica
ሉክሰምበርግ	Luxemburgo
መሬት	Tierra
ህይወት	Vida
የሰው ልጅ	Homo sapiens
ጆርጅ ዋሽንግተን	George Washington
ፊንላንድ	Finlandia
ስዊድን	Suecia
ዴንማርክ	Dinamarca
ፖላንድ	Polonia
ሊትዌኒያ	Lituania
ጣልያን	Italia
ስዊዘርላንድ	Suiza
ኦስትሪያ	Austria
ግሪክ (አገር)	Grecia
ቱርክ	Turquía
ፖርቱጋል	Portugal
አውሮፓ	Europa
እስያ	Asia
ስሜን አሜሪካ	América del Norte
አንታርክቲካ	Antártida
ውክፔዲያ	Wikipedia
ሆላንድ	Países Bajos
ኒው ዮርክ ከተማ	Nueva York
ዋሺንግተን ዲሲ	Washington D. C.
ሳን ፍራንሲስኰ	San Francisco (California)
በርሊን	Berlín
ሎስ አንጄሌስ	Los Ángeles
ኮምፒዩተር	Computadora
ቤርን	Berna
ዠኔቭ	Ginebra
ዙሪክ	Zúrich
ድረ ገጽ መረብ	Internet
ባራክ ኦባማ	Barack Obama
ኡራጓይ	Uruguay
ባዝል	Basilea
ለንደን	Londres
ካይሮ	El Cairo
እስክንድርያ	Alejandría
ፖም	Manzana
ፓሪስ	París
አብርሀም ሊንከን	Abraham Lincoln
ጉግል	Google
ሜክሲኮ	México
አትላንቲክ ውቅያኖስ	Océano Atlántico
ሰላማዊ ውቅያኖስ	Océano Pacífico
ካሊፎርኒያ	California
ቦስቶን	Boston
ሰኞ	Lunes
ጃንዩዌሪ	Enero
ፌብሩዋሪ	Febrero
ማርች	Marzo
ማርስ	Marte (planeta)
ኬንያ	Kenia
ኢትዮጵያ	Etiopía
ጋና	Ghana
ኤፕሪል	Abril
መይ	Mayo
ጁን	Junio
ጁላይ	Julio
ኦገስት	Agosto
ሰፕቴምበር	Septiembre
ኦክቶበር	Octubre
ኖቬምበር	Noviembre
ዲሴምበር	Diciembre
ማክሰኞ	Martes
ረቡዕ	Miércoles
ሐሙስ	Jueves
