Mo'hetaneho'e	África
Norway	Noruega
Ireland (Republic)	Irlanda
Spain	España
United States	Estados Unidos
Poland	Polonia
Lithuania	Lituania
Italy	Italia
Switzerland	Suiza
Austria	Austria
Turkey	Turquía
Héesevo'tamahpe	Cerveza
Hóxovê-hooma	Europa
Asia	Asia
Wikipedia	Wikipedia
Netherlands	Países Bajos
Vášêtaëno	Washington D. C.
San Francisco	San Francisco (California)
Los Angeles	Los Ángeles
Tséohketoetanóto	Computadora
Netse Ôhmo'ôhtávaestse	Barack Obama
Má'xeme	Manzana
Paris	París
Mé'šeeséve'ho'évenó	México
California	California
Péhpe'énanóse'hame	Panthera leo
France	Francia
Oeškese	Canis lupus familiaris
United Kingdom	Reino Unido
China (People's Republic of China)	República Popular China
Manestôtse	Bebida alcohólica
Russia	Rusia
Ma'evé'ho'éno	Alemania
Ame'hahtôtse'	Avión
Ukraine	Ucrania
Czechia	República Checa
Slovakia	Eslovaquia
Slovenia	Eslovenia
Roma	Roma
Croatia	Croacia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Mo'hetaneho'e hánêsóvóne	Sudáfrica
Mahpe	Agua
Chile	Chile
Serbia	Serbia
Taa'é-eše'he	Luna
Tsésáa-nanóhehane ame'hahtôtse	Objeto volador no identificado
Vé'ôhkêheóvemá'xeme	Citrus × limon
Hotohke	Estrella
Éše'he	Sol
Chihuahua	Chihuahua
Tonga	Tonga
Nauru	Nauru
Mo'éhno'ha	Equus ferus caballus
Hova	Animalia
Kokêhéaxa	Gallus gallus domesticus
Arizona	Arizona
Amérika	América
Utah	Utah
Republic of China	República de China
Ma'aataemeo'o	Tren
Vietnam	Vietnam
Véhone-ma'kaata	Oro
Tanzania	Tanzania
Zambia	Zambia
Zimbabwe	Zimbabue
Republic of the Congo	República del Congo
Democratic Republic of the Congo	República Democrática del Congo
Madagascar	Madagascar
Malawi	Malaui
Namibia	Namibia
Julius Caesar	Julio César
South Dakota	Dakota del Sur
Ho'honáéšé'e	Montana
Wyoming	Wyoming
Nevada	Nevada
Colorado	Colorado
Category:Wikipedia content	Categoría:Índice de categorías
Chicago	Chicago
Mene	Fruto
Mákohe	Mono
Meškêso	Insecta
Amâho'hestôtse	Automóvil
Toháano'ého'ëva	Texas
Buenos Aires	Buenos Aires
Barcelona	Barcelona
Šéstotó'emeno	Ananas comosus
Ma'xeé'ome'tää'e	Río Misisipi
Caracas	Caracas
Nebraska	Nebraska
Kansas	Kansas
Heévȧhetanéno	Oklahoma
Ma'heónemôxe'êstoo'o	Biblia
Ho Chi Minh City	Ciudad Ho Chi Minh
Dong Hoi	Đồng Hới
Concepción	Concepción (Chile)
Še'šenovôtse	Serpentes
Madrid	Madrid
