Αφρική	África
Ιαπωνία	Japón
Νότια Αμερική	América del Sur
Νορβηγία	Noruega
Αγγλία	Inglaterra
Σκωτία	Escocia
Ουαλία	Gales
Βόρεια Ιρλανδία	Irlanda del Norte
Δημοκρατία της Ιρλανδίας	Irlanda
Ουγγαρία	Hungría
Ισπανία	España
Ηνωμένες Πολιτείες Αμερικής	Estados Unidos
Βέλγιο	Bélgica
Λουξεμβούργο	Luxemburgo
Σύμπαν	Universo
Γη	Tierra
Ζωή	Vida
Θάνατος	Muerte
Άνθρωπος	Homo sapiens
Ευτυχία	Felicidad
Τρισκαιδεκαφοβία	Triscaidecafobia
Τζορτζ Ουάσινγκτον	George Washington
Ντάγκλας Άνταμς	Douglas Adams
Τιμ Μπέρνερς Λι	Tim Berners-Lee
Στάνλεϊ Κιούμπρικ	Stanley Kubrick
Ημερολόγιο των Μάγιας	Calendario maya
Wikidata	Wikidata
Φινλανδία	Finlandia
Σουηδία	Suecia
Δανία	Dinamarca
Πολωνία	Polonia
Λιθουανία	Lituania
Ιταλία	Italia
Ελβετία	Suiza
Αυστρία	Austria
Ελλάδα	Grecia
Τουρκία	Turquía
Μπύρα	Cerveza
Πορτογαλία	Portugal
Ευρώπη	Europa
Ασία	Asia
Βόρεια Αμερική	América del Norte
Ανταρκτική	Antártida
Βικιπαίδεια	Wikipedia
All your base are belong to us	All your base are belong to us
Ολλανδία	Países Bajos
Πέος	Pene
PHP	PHP
Νέα Υόρκη	Nueva York
Ουάσινγκτον	Washington D. C.
Σαν Φρανσίσκο	San Francisco (California)
Βερολίνο	Berlín
Λος Άντζελες	Los Ángeles
Airbus	Airbus
Ηλεκτρονικός υπολογιστής	Computadora
Βέρνη	Berna
Γενεύη	Ginebra
Ζυρίχη	Zúrich
Internet Relay Chat	Internet Relay Chat
Διαδίκτυο	Internet
Μπαράκ Ομπάμα	Barack Obama
Ουρουγουάη	Uruguay
Βασιλεία (Ελβετία)	Basilea
Εκτυπωτής	Impresora
MediaWiki	MediaWiki
Λονδίνο	Londres
Κάιρο	El Cairo
Πονοκέφαλος	Cefalea
Αλεξάνδρεια	Alejandría
Μήλο	Manzana
Παρίσι	París
Αβραάμ Λίνκολν	Abraham Lincoln
Android	Android
Google	Google
Μεξικό	México
Ατλαντικός Ωκεανός	Océano Atlántico
Ειρηνικός Ωκεανός	Océano Pacífico
Καλιφόρνια	California
Βοστώνη	Boston
Λοπαδο­τεμαχο­σελαχο­γαλεο­κρανιο­λειψανο­δριμ­υπο­τριμματο­σιλφιο­καραβο­μελιτο­κατακεχυ­μενο ­κιχλ­επι­κοσσυφο­φαττο­περιστε...	Lopadotemajoselajogaleokranioleipsanodrimipotrimmatosilfiokarabomelitokatakejimenokijlepikossifofatoperisteralektrionoptekefaliokinklopeleiolagoiosiraiobafetraganopterigón
Δευτέρα	Lunes
Χώρος	Espacio (física)
Ιανουάριος	Enero
Φεβρουάριος	Febrero
Μάρτιος	Marzo
Άρης (πλανήτης)	Marte (planeta)
Μαρς	Marte (mitología)
Μέθοδος Schulze	Método Schulze
Κένυα	Kenia
Αιθιοπία	Etiopía
Μονάρχης	Monarca
Γκάνα	Ghana
Απρίλιος	Abril
Μάιος	Mayo
Ιούνιος	Junio
Ιούλιος	Julio
Αύγουστος	Agosto
Σεπτέμβριος	Septiembre
Οκτώβριος	Octubre
Νοέμβριος	Noviembre
