Afirik	África
Norwees	Noruega
Irlannda	Irlanda
Hunngariya	Hungría
Hispaanya	España
Dowlaaji Dentuɗi	Estados Unidos
Beljik	Bélgica
Luksammbuur	Luxemburgo
Suwed	Suecia
Poloonya	Polonia
Lituwaniya	Lituania
Italiya	Italia
Suwis	Suiza
Portokeesi	Portugal
Yuroopu	Europa
Aasiya	Asia
Wikipeediya	Wikipedia
Holannda	Países Bajos
Kenya	Kenia
Gana	Ghana
Faransi	Francia
Esperanto	Esperanto
Faransinkoore	Idioma francés
Roosiya	Rusia
Almaanya	Alemania
Belaruusiya	Bielorrusia
Almankoore	Idioma alemán
Islannda	Islandia
Estoniya	Estonia
Go’o	Uno
Ɗiɗi	Dos
Tati	Tres
Nayi	Cuatro
Jowi	Cinco
Ukrayiina	Ucrania
Sulowakiya	Eslovaquia
Suloweniya	Eslovenia
Moldowa	Moldavia
Romaniya	Rumania
Bulgariya	Bulgaria
Masedoniya	República de Macedonia
Albaniya	Albania
Korowaasiya	Croacia
Bosniya	Bosnia y Herzegovina
Anndoora	Andorra
Montenegro	Montenegro
Watikan	Ciudad del Vaticano
Aljeri	Argelia
Ndiyam	Agua
Ciile	Chile
Sinngapuur	Singapur
Armaaniya	Armenia
Serbiya	Serbia
Lewru	Luna
Peru	Perú
Alqur'aana	Corán
Naange	Sol
Njuɓɓudi naangeyankoori	Sistema Solar
East Timor	Timor Oriental
Nawru	Nauru
Fiiji	Fiyi
Ndimaagu	Sabiduría
Aameerik	América
Wiyetnam	Vietnam
Maali	Malí
Anngolaa	Angola
Togo	Togo
Benen	Benín
Botswana	Botsuana
Burkina Faso	Burkina Faso
Burunndi	Burundi
Gine Ekwatoriyal	Guinea Ecuatorial
Eritereya	Eritrea
Gabon	Gabón
Gammbi	Gambia
Gine	Guinea
Gine-Bisaawo	Guinea-Bisáu
Kodduwaar	Costa de Marfil
Kamerun	Camerún
Kapu Werde	Cabo Verde
Labiriyaa	Liberia
Muritani	Mauritania
Mozammbik	Mozambique
Namibiya	Namibia
Niiser	Níger
Niiseriya	Nigeria
Senegaal	Senegal
Sarliyon	Sierra Leona
Somaaliya	Somalia
Uetersen	Uetersen
Ho Chi Minh City	Ciudad Ho Chi Minh
Egilis Haqiiqaajo mo Iisaa Almasiihu	Verdadera Iglesia de Jesús
Đồng Hới	Đồng Hới
Kurów	Kurów
Maayo Niil	Nilo
Maayo Jaaliba	Río Níger
Nouakchott	Nuakchot
Konaakiri	Conakri
Osasco	Osasco
Aéroport de Dong Hoi	Aeropuerto de Đồng Hới
Curitiba	Curitiba
Catégorie:Hisaabu	Categoría:Matemáticas
Duungal	Continente
Monzón	Monzón (Huesca)
Almazán	Almazán
Saggitorde huuɓnude	Enciclopedia
Hello jaɓɓorgo	Wikipedia:Portada
Catégorie:Candidates for speedy deletion	Categoría:Wikipedia:Borrar (definitivo)
Carl Friedrich Gauss	Carl Friedrich Gauss
Qin Shi Huang	Qin Shi Huang
Ndenndaandi	República
Leydi	Estado
Riisinkoore	Idioma ruso
UNESCO	Unesco
Nelson Manndelaa	Nelson Mandela
Dewgal	Matrimonio
Nelaaɗo Muhammadu	Mahoma
Ronald Reagan	Ronald Reagan
Kudaku	Solanum tuberosum
Limle	Número
Masarji	Zea mays
Ngaluuji leydi	Anexo:Países
Modèle:Link FA	Plantilla:Destacado
Wikipedia:Accueil	Wikipedia:Café
Joweenayi	Nueve
Bien Hoa	Biên Hòa
Nha Trang	Nha Trang
Vung Tau	Vũng Tàu
Bahai	Bahaísmo
Joweeɗiɗi	Siete
Joweetati	Ocho
Joweego	Seis
Paltoga	Paltoga
Entrena	Entrena
Sappo	Diez
Aéroport de Cam Ranh	Aeropuerto de Cam Ranh
Nowy Dwór Królewski	Nowy Dwór Królewski
Ca Mau	Cà Mau
Da Nang	Đà Nẵng
Fulfulde	Idioma fula
Cirgu	Panthera pardus
Ido	Ido
Sappo e ɗiɗi	Doce
Sappo e go’o	Once
Sappo e tati	Trece
Teemerre	Cien
Miliyonji	Millón
Sappo e nay	Catorce
Sappo e jowi	Quince
Sappo e joweetati	Dieciocho
Ciifol Gaaza	Franja de Gaza
Sappo e joweenay	Diecinueve
Sappo e joweeɗiɗi	Diecisiete
Sappo e joweego	Dieciséis
Noogas	Veinte
Cappanɗe nayi	Cuarenta
Cappanɗe tati	Treinta
Booro	Mil
Montehermoso	Montehermoso
Lacuna Coil	Lacuna Coil
Cappanɗe joweego	Sesenta
Coronel Fabriciano	Coronel Fabriciano
Ba Don	Ba Đồn
Ahmed Seeku Tuuree	Ahmed Sékou Touré
Aamadu Tumani Tuure	Amadou Toumani Touré
Alahajji Umaru Taal	El Hadj Umar Tall
Banovci (Nijemci)	Banovci (Nijemci)
Tigranes II	Tigranes II el Grande
Pullo	Fulani
Lansana Konte	Lansana Conté
Teemeɗɗe jowi	Quinientos
Trpinja	Trpinja
Cappanɗe joweenayi	Noventa
Teemeɗɗe joweego	Seiscientos
Booro sappo	Diez mil
Paramore	Paramore
Aéroport de Tan Son Nhat	Aeropuerto Internacional de Tan Son Nhat
Cappanɗe joweetati	Ochenta
Noogas e go’o	Veintiuno
Noogas e ɗiɗi	Veintidós
Cappanɗe joweeɗiɗi	Setenta
Cappanɗe jowi	Cincuenta
Teemeɗɗe ɗiɗi	Doscientos
Teemeɗɗe joweeɗiɗi	Setecientos
Teemeɗɗe joweenayi	Novecientos
Teemeɗɗe joweetati	Ochocientos
Aéroport de Da Nang	Aeropuerto Internacional de Đà Nẵng
Laamateeri Adamaawa	Emirato Adamawa
Pigazzano	Pigazzano
Adradas	Adradas
Arenillas	Arenillas
Medford	Medford (Oregón)
Fuuta Jaloo	Futa Yallon
Aéroport de Ca Mau	Aeropuerto de Cà Mau
Fonnye	Digitaria exilis
Teemeɗɗe tati	Trescientos
Catégorie:Roosiya	Categoría:Rusia
Catégorie:Hispaanya	Categoría:España
Catégorie:Vietnam	Categoría:Vietnam
Catégorie:Taariika	Categoría:Historia
Catégorie:Mbaalaandi	Categoría:Geografía
Catégorie:Diina	Categoría:Religión
Catégorie:Siyansi	Categoría:Ciencia
Teemeɗɗe nayi	Cuatrocientos
Ba Ria	Ba Ria
Catégorie:Duungal	Categoría:Continentes
Catégorie:Leydi	Categoría:Países
Wikipedia:Administrateurs	Wikipedia:Bibliotecarios
Catégorie:Yimɓe	Categoría:Personas
Modèle:Bot	Plantilla:Bot
Wikipedia:Copyrights	Wikipedia:Derechos de autor
Catégorie:Yuroopu	Categoría:Europa
Modèle:Documentation	Plantilla:Documentación
Catégorie:Babel	Categoría:Wikipedia:Wikipedistas por idioma
Sung Jae-gi	Sung Jae-ki
Modèle:Softredirect	Plantilla:Redirección suave
Modèle:Db	Plantilla:Destruir
Buubakar Biro	Bokar Biro Barry
Catégorie:Wikipeediya	Categoría:Wikipedia
Wikipedia:Statistiques	Wikipedia:Estadísticas
Modèle:!	Plantilla:!
Modèle:Clear	Plantilla:Clear
Catégorie:Afirik	Categoría:África
Catégorie:Limle	Categoría:Números
Modèle:Babel	Plantilla:Babel
Modèle:Commons	Plantilla:Commons
Modèle:Stub	Plantilla:Esbozo
Catégorie:Aasiya	Categoría:Asia
Catégorie:User uk	Categoría:Wikipedia:Wikipedistas con conocimientos de ucraniano
Catégorie:User fr-1	Categoría:Wikipedia:Wikipedistas con nivel básico de francés
Modèle:Official website	Plantilla:Página web
Catégorie:User en-4	Categoría:Wikipedia:Wikipedistas con nivel experto de inglés
Catégorie:User en	Categoría:Wikipedia:Wikipedistas con conocimientos de inglés
Catégorie:User zh	Categoría:Wikipedia:Wikipedistas con conocimientos de chino
Catégorie:User zh-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de chino
Catégorie:User en-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de inglés
Catégorie:Aameerik	Categoría:América
Modèle:Ɗemngal e innde mun	Plantilla:LangWithName
Modèle:Ɗemngal-de	Plantilla:Lang-de
Modèle:Oppose	Plantilla:En contra
Catégorie:User ja-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de japonés
Modèle:URL	Plantilla:URL
Modèle:Ɗemngal-fr	Plantilla:Lang-fr
Catégorie:User az	Categoría:Wikipedia:Wikipedistas con conocimientos de azerí
Catégorie:User be	Categoría:Wikipedia:Wikipedistas con conocimientos de bielorruso
Catégorie:User hr	Categoría:Wikipedia:Wikipedistas con conocimientos de croata
Catégorie:User sk	Categoría:Wikipedia:Wikipedistas con conocimientos de eslovaco
Catégorie:User eo	Categoría:Wikipedia:Wikipedistas con conocimientos de esperanto
Catégorie:User fr	Categoría:Wikipedia:Wikipedistas con conocimientos de francés
Catégorie:User ja	Categoría:Wikipedia:Wikipedistas con conocimientos de japonés
Catégorie:User lt	Categoría:Wikipedia:Wikipedistas con conocimientos de lituano
Catégorie:User mk	Categoría:Wikipedia:Wikipedistas con conocimientos de macedonio
Catégorie:User pt	Categoría:Wikipedia:Wikipedistas con conocimientos de portugués
Catégorie:User sv	Categoría:Wikipedia:Wikipedistas con conocimientos de sueco
Catégorie:User it-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de italiano
Catégorie:User ar-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de árabe
Catégorie:User cs-1	Categoría:Wikipedia:Wikipedistas con nivel básico de checo
Catégorie:User da-1	Categoría:Wikipedia:Wikipedistas con nivel básico de danés
Catégorie:User mk-1	Categoría:Wikipedia:Wikipedistas con nivel básico de macedonio
