આફ્રિકા	África
જાપાન	Japón
દક્ષિણ અમેરિકા	América del Sur
નોર્વે	Noruega
વેલ્સ	Gales
નોર્ધન આયર્લેન્ડ	Irlanda del Norte
હંગેરી	Hungría
સ્પેન	España
સંયુક્ત રાજ્ય અમેરિકા	Estados Unidos
બેલ્જિયમ	Bélgica
લક્ઝેમ્બર્ગ	Luxemburgo
બ્રહ્માંડ	Universo
પૃથ્વી	Tierra
મનુષ્ય	Homo sapiens
ફીનલેંડ	Finlandia
સ્વિડન	Suecia
પોલેંડ	Polonia
લિથુઆનિયા	Lituania
ઈટલી	Italia
સ્વિત્ઝરલેન્ડ	Suiza
ઑસ્ટ્રિયા	Austria
ગ્રીસ	Grecia
તુર્કસ્તાન	Turquía
પોર્ટુગલ	Portugal
યુરોપ	Europa
એશિયા	Asia
ઉત્તર અમેરિકા	América del Norte
ઍન્ટાર્કટિકા	Antártida
વિકિપીડિયા	Wikipedia
નેધરલેંડ	Países Bajos
PHP (પ્રોગ્રામિંગ ભાષા)	PHP
એર બસ	Airbus
સંગણક	Computadora
ઇન્ટરનેટ	Internet
ઉરુગ્વે	Uruguay
કમ્પ્યુટર પ્રિન્ટર	Impresora
લંડન	Londres
એલેક્ઝાન્ડ્રિયા	Alejandría
સફરજન	Manzana
પૅરિસ	París
ગૂગલ	Google
મેક્સિકો	México
સોમવાર	Lunes
જાન્યુઆરી	Enero
ફેબ્રુઆરી	Febrero
માર્ચ	Marzo
મંગળ (ગ્રહ)	Marte (planeta)
કેન્યા	Kenia
ઇથિયોપિયા	Etiopía
ઘાના	Ghana
એપ્રિલ	Abril
મે	Mayo
જૂન	Junio
જુલાઇ	Julio
ઓગસ્ટ	Agosto
સપ્ટેમ્બર	Septiembre
ઓક્ટોબર	Octubre
નવેમ્બર	Noviembre
ડિસેમ્બર	Diciembre
મંગળવાર	Martes
બુધવાર	Miércoles
ગુરુવાર	Jueves
શુક્રવાર	Viernes
શનિવાર	Sábado
રવિવાર	Domingo
એશિયાઇ સિંહ	Panthera leo
ફ્રાન્સ	Francia
યુનાઇટેડ કિંગડમ	Reino Unido
ચીન	República Popular China
માછલી	Pisces
ઇથેનોલ	Etanol
મદ્યાર્ક યુક્ત પીણું	Bebida alcohólica
બ્રાઝિલ	Brasil
રશિયા	Rusia
કાળો સમુદ્ર	Mar Negro
અલાબામા	Alabama
ક્વિબેક	Quebec
વિકિમીડિયા ફાઉન્ડેશન	Fundación Wikimedia
જીમ્મી વેલ્સ	Jimmy Wales
જર્મની	Alemania
બેલારુસ	Bielorrusia
જર્મન ભાષા	Idioma alemán
આઈસલેંડ	Islandia
ઈશ્વર	Dios
ઈસ્ટોનિયા	Estonia
શનિ (ગ્રહ)	Saturno (planeta)
ચેરી	Cereza
૧	Uno
૦ (શૂન્ય)	Cero
લાટવિયા	Letonia
યુક્રેન	Ucrania
સ્લોવાકિયા	Eslovaquia
સ્લોવેનિયા	Eslovenia
મોલ્દોવા	Moldavia
રોમાનિયા	Rumania
બલ્ગેરિયા	Bulgaria
મેસેડોનિયા	República de Macedonia
આલ્બેનિયા	Albania
ક્રોએશિયા	Croacia
અઝેરબીજાન	Azerbaiyán
સાયપ્રસ	Chipre
જ્યોર્જીયા (દેશ)	Georgia
કઝાકિસ્તાન	Kazajistán
માલ્ટા	Malta
મોનૅકો	Mónaco
મોન્ટેનીગ્રો	Montenegro
સાન મૅરિનો	San Marino
ઍફીલ ટાવર	Torre Eiffel
ઇન્ટેલ કોર્પોરેશન	Intel Corporation
કોમ્પ્યુટર કીબોર્ડ	Teclado (informática)
જાવા (પ્રોગ્રામિંગ ભાષા)	Java (lenguaje de programación)
ઈંડોનેશિયા	Indonesia
મોઝાર્ટ	Wolfgang Amadeus Mozart
દક્ષિણ આફ્રિકા	Sudáfrica
વિકિસ્રોત	Wikisource
ઉઝબેકિસ્તાન	Uzbekistán
પાણી	Agua
ચીલી	Chile
ઇસુ	Jesús de Nazaret
