非洲	África
日本	Japón
南美洲	América del Sur
Nò-vî	Noruega
Sû-kak-làn	Escocia
Vî-ngì-sṳ̂	Gales
Pet Oi-ngì-làn	Irlanda del Norte
Hiûng-ngà-li	Hungría
Sî-pân-ngà	España
Mî-koet	Estados Unidos
Pí-li-sṳ̀	Bélgica
Lù-sêm-pó	Luxemburgo
Yî-chhiu	Universo
Thi-khiù	Tierra
Sâng-miang	Vida
Ngìn-lui	Homo sapiens
George Washington	George Washington
Fûn-làn	Finlandia
Shuì-tién	Suecia
Tan-ma̍k	Dinamarca
Pô-làn	Polonia
Li̍p-thâu-vón	Lituania
Yi-thai-li	Italia
Shuì-sṳ	Suiza
O-thi-li	Austria
Hî-lia̍p	Grecia
Thú-ngí-khì	Turquía
Phù-thò-ngà	Portugal
歐洲	Europa
亞洲	Asia
北美洲	América del Norte
南極洲	Antártida
Vì-kî Pak-khô	Wikipedia
Hò-làn	Países Bajos
Néu-yok-sṳ	Nueva York
Fà-sṳ̀n-tun Kô-lùn-pí-â Thi̍t-khî	Washington D. C.
Khiu-kîm-sân	San Francisco (California)
Pak-lìm	Berlín
Lo̍k-chhám-kî	Los Ángeles
Thien-nó	Computadora
Mióng-chi-mióng-lu	Internet
Barack Obama	Barack Obama
Vû-lâ-kûi	Uruguay
Lùn-tûn	Londres
Phìn-kó	Manzana
Pâ-lì-sṳ	París
Â-pak-lâ-hón Lìm-khén	Abraham Lincoln
Google	Google
Me̍t-sî-kô	México
Thai-sî-yòng	Océano Atlántico
Thai-phìn-yòng	Océano Pacífico
Kâ-li-fuk-nì-â	California
Pô-sṳ-tun	Boston
Fó-sên	Marte (planeta)
Âi-set-ngò-pí-â	Etiopía
Sṳ̂-é	Panthera leo
Fap-koet	Francia
Sṳ-kie-ngî	Esperanto
Kiéu-è	Canis lupus familiaris
Yîn-koet	Reino Unido
Meu-é	Felis silvestris catus
中華人民共和國	República Popular China
Fap-ngî	Idioma francés
Ǹg-è	Pisces
Pâ-sî	Brasil
François Hollande	François Hollande
Ngò-lò-sṳ̂	Rusia
Kîn-ǹg	Cetacea
Chang-fông-hìn	Cuadrado
Tô-lùn-tô	Toronto
Â-lâ-pâ-mâ	Alabama
Québec-sén	Quebec
Boeing 747	Boeing 747
Jimmy Wales	Jimmy Wales
Tet-koet	Alemania
Pha̍k-ngò-lò-sṳ̂	Bielorrusia
Tet-ngî	Idioma alemán
Pên-tó	Islandia
Song-ti	Dios
Oi-sâ-nì-â	Estonia
David Cameron	David Cameron
Thú-sên	Saturno (planeta)
Ku-thin-yi̍t Fî-kî	Avión
1	Uno
2	Dos
3	Tres
4	Cuatro
5	Cinco
George W. Bush	George W. Bush
Lâ-thot-vì-â	Letonia
Vû-khiet-làn	Ucrania
Tshia̍p-khiet	República Checa
Sṳ̂-lo̍k-vì-nì-â	Eslovenia
Lò-mâ-nì-â	Rumania
Pó-kâ-li-â	Bulgaria
Lò-mâ	Roma
Mâ-khì-tun	República de Macedonia
Â-ngì-pâ-nì-â	Albania
Khiet-lò-âi-sî-â	Croacia
Pô-sṳ-nì-â lâu Het-set-kô-vì-ná	Bosnia y Herzegovina
Â-set-pai-kiông	Azerbaiyán
Set-phû-lu-sṳ̂	Chipre
Kak-lû-kit-â	Georgia
Hâ-sat-khiet-sṳ̂-thán	Kazajistán
Mí-li-thai	Malta
Mô-na̍p-kô	Mónaco
Mùng-thi̍t-nui-kô-lò	Montenegro
Sṳn Mâ-li-nok	San Marino
Kú-pâ	Cuba
Eiffel Thiet-thap	Torre Eiffel
Yin-thu-nì-sî-â	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Pi-tô-fûn	Ludwig van Beethoven
Thú-ngí-khì-ngî	Idioma turco
Nàm-fî	Sudáfrica
Vû-tsṳ̂-phe̍t-khiet-sṳ̂-thán	Uzbekistán
Pô-tsṳ-nàm	Poznań
Fà-sâ	Varsovia
Súi	Agua
Thien-sṳ	Televisión
Chṳ-li	Chile
Yâ-sû	Jesús de Nazaret
Súi-sên	Mercurio (planeta)
Li̍t-sṳ́	Historia
Phìn-kó Kûng-sṳ̂	Apple
Kîm-sên	Venus (planeta)
Ngî-ngièn	Lenguaje
Muk-sên	Júpiter (planeta)
Thiên-vòng-sên	Urano (planeta)
Hói-vòng-sên	Neptuno (planeta)
Thiên-vùn-ho̍k	Astronomía
Sîn-kâ-po	Singapur
Khô-ho̍k	Ciencia
Montréal	Montreal
Lie̍t-kî-tûn-sṳ-tên	Liechtenstein
Kiam-khiâu	Cambridge
Thi-ngi-chhṳ Sṳ-kie Thai-chan	Segunda Guerra Mundial
Cologne	Colonia (Alemania)
Kak-tên-nì-â	Gdynia
Sṳ̍p-chhiet-chhiâng	Szczecin
Sṳ-ho̍k	Matemáticas
Lâ-tên-ngî	Latín
Pâ-lìm	Baréin
Â-mî-nì-â	Armenia
Set-ngì-vì-â	Serbia
Ngie̍t-khiù	Luna
Àu-thai-li-â	Australia
Vu̍t-lî-ho̍k	Física
Â-kîn-thìn	Argentina
Pi-lû	Perú
Sâng-vu̍t-ho̍k	Biología
Tsêu-siên Mìn-tsú Tsú-ngi Ngìn-mìn Khiung-fò-koet	Corea del Norte
Kán-pu-chhài	Camboya
Khiúng-liùng	Dinosauria
Yî-sṳ̂-làn-kau	Islam
Lech Wałęsa	Lech Wałęsa
Lin-é	Rueda
Lyon	Lyon
Êu-chû Lièn-mèn	Unión Europea
Rhône-Alpes	Ródano-Alpes
Chhiòn-khiù Chṳ̂-sín Mióng	World Wide Web
Ńg-ngìn	Mujer
Fâ	Flor
Mâ-lî-â-na̍p-hói	Fosa de las Marianas
Chû-mu̍k-lòng-mâ-fûng	Monte Everest
Sàng-sṳ	Ciudad
Nâ-pho-lùn yit-sṳ	Napoleón Bonaparte
Ngit-tèu	Sol
Pâ-sṳ-tet	Louis Pasteur
大洋洲	Oceanía
Thai-yòng Hì	Sistema Solar
Pô-lò-tit-hói	Mar Báltico
Khîn	Hidrógeno
Hoi (氦)	Helio
Angela Merkel	Angela Merkel
Lî	Litio
Phì	Berilio
Si	Libro
Ngit	Día
Ngièn	Año
Sṳ-ki	Siglo
Lò-tsṳ (Pô-làn)	Łódź
Khà-thok-vì-chṳ	Katowice
Ngie̍t-sû-fû	Rzeszów
Phìn	Boro
Thàn	Carbono
Tham	Nitrógeno
Yòng	Oxígeno
Hàng-sên	Planeta
Yîm-ngo̍k	Música
Rennes	Rennes
Mo̍k-sṳ̂-khô	Moscú
Fuk	Flúor
Yi-thai-li-ngî	Idioma italiano
Nái	Neón
Sṳn Pí-tet-páu	San Petersburgo
Na̍p	Sodio
北	Norte
Mî	Magnesio
Lî (鋁)	Aluminio
Néu Sî-làn	Nueva Zelanda
南	Sur
Yin-thu	India
Si̍t	Silicio
Fap	Francio
Lìn	Fósforo
Thiet	Hierro
Tûng-kâ	Tonga
西	Oeste
Liù-vòng	Azufre
東	Este
Liu̍k	Cloro
Pâ-pu-â Néu-kí-nui-â	Papúa Nueva Guinea
Vî-lièn Sâ-sṳ-pí-â	William Shakespeare
Â (氬)	Argón
Kap	Potasio
Koi	Calcio
Yèn	Plomo
Mùng-kú-koet	Mongolia
Khong (鈧)	Escandio
Thai	Titanio
Genghis Khan	Gengis Kan
Fàm	Vanadio
Mien-yîn	Maine
Kok	Cromo
Mâ	Equus ferus caballus
Thûng-vu̍t	Animalia
Sû-li-nàm	Surinam
Màng	Manganeso
Pâ-lâ-kûi	Paraguay
Koi-â-nâ	Guyana
Ngi-su̍t	Arte
Lòi	Renio
Kô-lùn-pí-â	Colombia
Kû	Cobalto
Vû	Wolframio
Ngiap (鎳)	Níquel
Fu̍t-kau	Budismo
Pô-li-vì-â	Bolivia
Tshṳ̀-nì-tha̍t lâu Tô-pâ-kô	Trinidad y Tobago
Chhṳ̍t-vu̍t	Plantae
Sîn	Cinc
Néu Hàn-pu-ha	Nuevo Hampshire
Pí-â-vùi-sṳ̂-thok-khiet	Białystok
Ngà-mâi-kâ	Jamaica
Mà-sat-chû-set	Massachusetts
Drenthe-sén	Drente
Overijssel-sén	Overijssel
Kûa-thi-mâ-là	Guatemala
Gelderland-sén	Güeldres
Pâ-hâ-mâ	Bahamas
Không-nái-tí-khiet-chû	Connecticut
Kiê-é	Gallus gallus domesticus
Ha-vî-yî	Hawái
Fùng-tû-lâ-sṳ̂	Honduras
Tô-mí-nì-kâ	Dominica
Tô-mí-nì-kâ Khiung-fò-koet	República Dominicana
Kâ-chû (Thung-vu̍t)	Sus scrofa domestica
Hói-thi	Haití
Sat-ngì-ngá-tô	El Salvador
Yî-lóng	Irán
Yî-là-khiet	Irak
Â-lâ-sṳ̂-kâ	Alaska
Kô-sṳ̂-tha̍t Lì-kâ	Costa Rica
Yî-set-lie̍t	Israel
Pâ-nâ-mâ	Panamá
Ya̍p-mùn	Yemen
Phiang-thu̍k	Virus
Pô-làn-ngî	Idioma polaco
Yok-tan	Jordania
Nì-kâ-lâ-kûa	Nicaragua
Fu-lò-lî-tha̍t	Florida
Kit-ngí-kit-sṳ̂-thán	Kirguistán
Â-li-sông-ná	Arizona
Khô-vî-thi̍t	Kuwait
Liàu-koet	Laos
Lì-pâ-nun	Líbano
O-le̍t-kông	Oregón
