Afrika	África
Japan	Japón
Južna Amerika	América del Sur
Norveška	Noruega
Engleska	Inglaterra
Škotska	Escocia
Wales	Gales
Sjeverna Irska	Irlanda del Norte
Irska	Irlanda
Mađarska	Hungría
Španjolska	España
Sjedinjene Američke Države	Estados Unidos
Belgija	Bélgica
Luksemburg	Luxemburgo
Svemir	Universo
Zemlja	Tierra
Život	Vida
Smrt	Muerte
Čovjek	Homo sapiens
Sreća	Felicidad
Triskaidekafobija	Triscaidecafobia
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Imagine (pjesma)	Imagine (canción)
Stanley Kubrick	Stanley Kubrick
Mayanski kalendar	Calendario maya
Finska	Finlandia
Švedska	Suecia
Danska	Dinamarca
Poljska	Polonia
Litva	Lituania
Italija	Italia
Švicarska	Suiza
Austrija	Austria
Grčka	Grecia
Turska	Turquía
Pivo	Cerveza
Portugal	Portugal
Europa	Europa
Azija	Asia
Sjeverna Amerika	América del Norte
Antarktika	Antártida
Wikipedija	Wikipedia
Nizozemska	Países Bajos
Spolni ud	Pene
PHP	PHP
New York City, New York	Nueva York
Washington	Washington D. C.
San Francisco, Kalifornija	San Francisco (California)
Berlin	Berlín
Los Angeles, Kalifornija	Los Ángeles
Boeing	Boeing
Airbus	Airbus
Računalo	Computadora
Bern	Berna
Ženeva	Ginebra
Zürich	Zúrich
IRC	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Urugvaj	Uruguay
Basel	Basilea
Pisač	Impresora
MediaWiki	MediaWiki
London	Londres
Kairo	El Cairo
Glavobolja	Cefalea
Aleksandrija	Alejandría
Jabuka	Manzana
Pariz	París
Abraham Lincoln	Abraham Lincoln
Android (operacijski sustav)	Android
Google (tvrtka)	Google
Meksiko	México
Atlantski ocean	Océano Atlántico
Tihi ocean	Océano Pacífico
Kalifornija	California
Boston, Massachusetts	Boston
Pneumonoultramicroscopicsilicovolcanoconiosis	Pneumonoultramicroscopicsilicovolcanoconiosis
Ponedjeljak	Lunes
Prostor	Espacio (física)
Siječanj	Enero
Veljača	Febrero
Ožujak	Marzo
Mars	Marte (planeta)
Mars (mitologija)	Marte (mitología)
Kenija	Kenia
Etiopija	Etiopía
Gana	Ghana
Travanj	Abril
