Afríka	África
Japan	Japón
Suður-Ameríka	América del Sur
Noregur	Noruega
England	Inglaterra
Skotland	Escocia
Wales	Gales
Norður-Írland	Irlanda del Norte
Írska lýðveldið	Irlanda
Ungverjaland	Hungría
Spánn	España
Bandaríkin	Estados Unidos
Belgía	Bélgica
Lúxemborg	Luxemburgo
Alheimurinn	Universo
Jörðin	Tierra
Líf	Vida
Dauði	Muerte
Maður	Homo sapiens
Hamingja	Felicidad
George Washington	George Washington
Jack Bauer	Jack Bauer
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
L33t	Leet speak
Stanley Kubrick	Stanley Kubrick
Wikidata	Wikidata
Finnland	Finlandia
Svíþjóð	Suecia
Danmörk	Dinamarca
Pólland	Polonia
Litháen	Lituania
Ítalía	Italia
Sviss	Suiza
Austurríki	Austria
Grikkland	Grecia
Tyrkland	Turquía
Bjór (öl)	Cerveza
Portúgal	Portugal
Evrópa	Europa
Asía	Asia
Norður-Ameríka	América del Norte
Suðurskautslandið	Antártida
Wikipedia	Wikipedia
Holland	Países Bajos
Getnaðarlimur	Pene
PHP	PHP
New York-borg	Nueva York
Washington (borg)	Washington D. C.
San Francisco	San Francisco (California)
Berlín	Berlín
Los Angeles	Los Ángeles
Boeing	Boeing
Airbus	Airbus
Tölva	Computadora
Bern	Berna
Genf	Ginebra
Zürich	Zúrich
Internet Relay Chat	Internet Relay Chat
Internetið	Internet
Barack Obama	Barack Obama
Úrúgvæ	Uruguay
Basel	Basilea
Prentari (tölvufræði)	Impresora
London	Londres
Kaíró	El Cairo
Höfuðverkur	Cefalea
Alexandría	Alejandría
Epli	Manzana
París	París
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Mexíkó	México
Atlantshaf	Océano Atlántico
Kyrrahaf	Océano Pacífico
Kalifornía	California
Boston	Boston
Mánudagur	Lunes
Janúar	Enero
Febrúar	Febrero
Mars (mánuður)	Marzo
Mars (reikistjarna)	Marte (planeta)
Mars (guð)	Marte (mitología)
Kenía	Kenia
Eþíópía	Etiopía
Konungur	Monarca
Gana	Ghana
Apríl	Abril
Maí	Mayo
Júní	Junio
Júlí	Julio
Ágúst	Agosto
September	Septiembre
Október	Octubre
Nóvember	Noviembre
Desember	Diciembre
Þriðjudagur	Martes
Miðvikudagur	Miércoles
Fimmtudagur	Jueves
Föstudagur	Viernes
Laugardagur	Sábado
Sunnudagur	Domingo
Ljón	Panthera leo
Frakkland	Francia
Esperanto	Esperanto
Hundur	Canis lupus familiaris
Bretland	Reino Unido
Köttur	Felis silvestris catus
Alþýðulýðveldið Kína	República Popular China
Franska	Idioma francés
Wikiorðabókin	Wikcionario
Fiskur	Pisces
Etanól	Etanol
Áfengi	Bebida alcohólica
Brasilía	Brasil
Alkóhól	Alcohol
François Hollande	François Hollande
Rússland	Rusia
Hvalir	Cetacea
Trefjar	Fibra textil
Yorkshire	Yorkshire
Ferningur	Cuadrado
Sjór	Mar
Svartahaf	Mar Negro
Pí	Número π
Pí (bókstafur)	Π
Wiki	Wiki
Torontó	Toronto
Alabama	Alabama
São Paulo	São Paulo
Québec	Quebec
Pizza	Pizza
Pasta	Pasta
Boeing 747	Boeing 747
Wikimedia	Fundación Wikimedia
Jimmy Wales	Jimmy Wales
Þýskaland	Alemania
Hvíta-Rússland	Bielorrusia
Il Canto degli Italiani	Il Canto degli Italiani
Þýska	Idioma alemán
Ísland	Islandia
Guð	Dios
Eistland	Estonia
David Cameron	David Cameron
Satúrnus (reikistjarna)	Saturno (planeta)
Súkkulaði	Chocolate
Kirsuber	Cereza
Flugvél	Avión
Stríð	Guerra
Einn	Uno
Tveir	Dos
Þrír	Tres
Fjórir	Cuatro
Fimm	Cinco
Núll	Cero
Óendanleiki	Infinito
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Rétthyrningur	Rectángulo
Rétt horn	Ángulo recto
Lettland	Letonia
Úkraína	Ucrania
Tékkland	República Checa
Slóvakía	Eslovaquia
Slóvenía	Eslovenia
Vilníus	Vilna
Moldóva	Moldavia
Rúmenía	Rumania
Búlgaría	Bulgaria
Róm	Roma
Lýðveldið Makedónía	República de Macedonia
Albanía	Albania
Grænland	Groenlandia
Króatía	Croacia
Bosnía og Hersegóvína	Bosnia y Herzegovina
Nuuk	Nuuk
Aserbaídsjan	Azerbaiyán
Andorra	Andorra
Kýpur	Chipre
Georgía	Georgia
Kasakstan	Kazajistán
Malta	Malta
Mónakó	Mónaco
Svartfjallaland	Montenegro
Vatíkanið	Ciudad del Vaticano
San Marínó	San Marino
Brussel	Región de Bruselas-Capital
Kúba	Cuba
Belís	Belice
Eiffelturninn	Torre Eiffel
Barbados	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Intel Corporation	Intel Corporation
Þráðlaus samskipti	Comunicación inalámbrica
Lyklaborð	Teclado (informática)
Java (forritunarmál)	Java (lenguaje de programación)
Indónesía	Indonesia
QWERTY	Teclado QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Tyrkneska	Idioma turco
Mandelbrot mengið	Conjunto de Mandelbrot
Suður-Afríka	Sudáfrica
Linkin Park	Linkin Park
Alsír	Argelia
Wikiheimild	Wikisource
Úsbekistan	Uzbekistán
Poznań	Poznań
Taskent	Taskent
Varsjá	Varsovia
Söngvakeppni evrópskra sjónvarpsstöðva	Festival de la Canción de Eurovisión
Módena	Módena
Viskí	Whisky
Vín	Vino
Vatn	Agua
Leður	Cuero
Viður	Madera
Sjónvarp	Televisión
Klám	Pornografía
Íslenska	Idioma islandés
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Síle	Chile
Íslendingasögur	Sagas de los islandeses
El Greco	El Greco
Jesús frá Nasaret	Jesús de Nazaret
Elvis Presley	Elvis Presley
Galíleó Galílei	Galileo Galilei
Merkúríus (reikistjarna)	Mercurio (planeta)
Saga	Historia
Apple Inc.	Apple
Venus (reikistjarna)	Venus (planeta)
Tungumál	Lenguaje
Ást	Amor
Einræði	Dictadura
Stjörnuþoka	Galaxia
Júpíter (reikistjarna)	Júpiter (planeta)
Michelle Bachelet	Michelle Bachelet
Vetrarbrautin	Vía Láctea
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Miklihvellur	Teoría del Big Bang
Úranus (reikistjarna)	Urano (planeta)
Nicolas Sarkozy	Nicolas Sarkozy
Neptúnus (reikistjarna)	Neptuno (planeta)
Stjörnufræði	Astronomía
Singapúr	Singapur
Vísindi	Ciencia
Heimsfræði	Cosmología
Plútó (dvergreikistjarna)	Plutón (planeta enano)
Montréal	Montreal
Frjáls hugbúnaður	Software libre
Framtíð	Futuro
María mey	María (madre de Jesús)
Loðvík 9.	Luis IX de Francia
Liechtenstein	Liechtenstein
Íþrótt	Deporte
Cambridge	Cambridge
Yellowstone-þjóðgarðurinn	Parque nacional de Yellowstone
Adolf Hitler	Adolf Hitler
Blanka af Kastilíu	Blanca de Castilla
Facebook	Facebook
Fangabúðirnar við Guantanamo-flóa	Centro de detención de Guantánamo
Wikileaks	WikiLeaks
Julian Assange	Julian Assange
Fyrri heimsstyrjöldin	Primera Guerra Mundial
Seinni heimsstyrjöldin	Segunda Guerra Mundial
Þriðja heimsstyrjöldin	Tercera Guerra Mundial
Köln	Colonia (Alemania)
Wikibækur	Wikilibros
Augusto Pinochet	Augusto Pinochet
Wikivitnun	Wikiquote
Vodka	Vodka
Vaffla	Gofre
Klukka	Reloj
Yanka Kupala	Yanka Kupala
Ubuntu	Ubuntu
Skopje	Skopie
