Afrika	África
Jepang	Japón
Amérika Kidul	América del Sur
Norwégia	Noruega
Inggris	Inglaterra
Skotlandia	Escocia
Wales	Gales
Irlandia Lor	Irlanda del Norte
Republik Irlandia	Irlanda
Hongaria	Hungría
Spanyol	España
Amérika Sarékat	Estados Unidos
Bèlgia	Bélgica
Luksemburg	Luxemburgo
Alam semesta	Universo
Bumi	Tierra
Urip	Vida
Menungsa	Homo sapiens
Triskaidekafobia	Triscaidecafobia
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Pananggalan Maya	Calendario maya
Finlandia	Finlandia
Swédia	Suecia
Denmark	Dinamarca
Polandia	Polonia
Lituania	Lituania
Italia	Italia
Swiss	Suiza
Austria	Austria
Yunani	Grecia
Turki	Turquía
Bir	Cerveza
Portugal	Portugal
Éropah	Europa
Asia	Asia
Amérika Lèr	América del Norte
Antartika	Antártida
Wikipedia	Wikipedia
Walanda	Países Bajos
Palanangan	Pene
PHP	PHP
New York	Nueva York
Washington, D.C.	Washington D. C.
San Francisco	San Francisco (California)
Berlin	Berlín
Los Angeles	Los Ángeles
Boeing	Boeing
Komputer	Computadora
Bern	Berna
Jenéwa	Ginebra
Zürich	Zúrich
Internèt	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Basel	Basilea
Pencetak	Impresora
London	Londres
Kairo	El Cairo
Lara sirah	Cefalea
Alexandria	Alejandría
Apel	Manzana
Paris	París
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Mèksiko	México
Samudra Atlantika	Océano Atlántico
Samudra Pasifik	Océano Pacífico
California	California
Boston	Boston
Senèn	Lunes
Januari	Enero
Februari	Febrero
Maret	Marzo
Mars	Marte (planeta)
Kénya	Kenia
Étiopia	Etiopía
Ghana	Ghana
April	Abril
Mei	Mayo
Juni	Junio
Juli	Julio
Agustus	Agosto
September	Septiembre
Oktober	Octubre
November	Noviembre
Desember	Diciembre
Anggara	Martes
Rebo	Miércoles
Kemis	Jueves
Jemuwah	Viernes
Setu	Sábado
Ngaat	Domingo
Singa	Panthera leo
Prancis	Francia
Asu	Canis lupus familiaris
Britania Raya	Reino Unido
Kucing	Felis silvestris catus
Républik Rakyat Cina	República Popular China
Basa Prancis	Idioma francés
Wiktionary	Wikcionario
Iwak	Pisces
Etanol	Etanol
Brasil	Brasil
Alkohol	Alcohol
François Hollande	François Hollande
Rusia	Rusia
Iwak lodan	Cetacea
Pesagi	Cuadrado
Segara	Mar
Segara Ireng	Mar Negro
Pi	Número π
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Quebec	Quebec
Pizza	Pizza
Pasta	Pasta
Boeing 747	Boeing 747
Wikimedia Foundation	Fundación Wikimedia
Jerman	Alemania
Bélarus	Bielorrusia
Inno di Mameli	Il Canto degli Italiani
Basa Jerman	Idioma alemán
Islandia	Islandia
Hyang	Dios
Estonia	Estonia
David Cameron	David Cameron
Saturnus	Saturno (planeta)
Coklat	Chocolate
Perang	Guerra
0	Cero
George Walker Bush	George W. Bush
Pesagi dawa	Rectángulo
Latvia	Letonia
Ukraina	Ucrania
Céko	República Checa
Slowakia	Eslovaquia
Slovénia	Eslovenia
Moldova	Moldavia
Rumania	Rumania
Bulgaria	Bulgaria
Roma	Roma
Républik Makedonia	República de Macedonia
Albania	Albania
Greenland	Groenlandia
Kroasia	Croacia
Bosnia-Herzegovina	Bosnia y Herzegovina
Azerbaijan	Azerbaiyán
Andorra	Andorra
Siprus	Chipre
Georgia	Georgia
Kazakhstan	Kazajistán
Malta	Malta
Monako	Mónaco
Montenégro	Montenegro
Vatikan	Ciudad del Vaticano
San Marino	San Marino
Brussel	Bruselas
Kuba	Cuba
Belize	Belice
Menara Eiffel	Torre Eiffel
Barbadhos	Barbados
Volkswagen	Volkswagen
