Africa	África
Iaponia	Japón
America Australis	América del Sur
Norvegia	Noruega
Anglia	Inglaterra
Scotia	Escocia
Cambria	Gales
Hibernia Septentrionalis	Irlanda del Norte
Hibernia (res publica)	Irlanda
Hungaria	Hungría
Hispania	España
Civitates Foederatae Americae	Estados Unidos
Belgica	Bélgica
Luxemburgum	Luxemburgo
Universum	Universo
Tellus (planeta)	Tierra
Vita	Vida
Mors	Muerte
Homo sapiens	Homo sapiens
Felicitas	Felicidad
Georgius Washingtonius	George Washington
Duglassius Adams	Douglas Adams
Timotheus Ioannes Berners-Lee	Tim Berners-Lee
Sescenti sexaginta sex	Marca de la Bestia
Imagine (carmen)	Imagine (canción)
Stanley Kubrick	Stanley Kubrick
Calendarium Mayense	Calendario maya
Finnia	Finlandia
Suecia	Suecia
Dania	Dinamarca
Polonia	Polonia
Lituania	Lituania
Italia	Italia
Helvetia	Suiza
Austria	Austria
Graecia	Grecia
Turcia	Turquía
Cervesia	Cerveza
Portugallia	Portugal
Europa	Europa
Asia	Asia
America Septentrionalis	América del Norte
Antarctica	Antártida
Vicipaedia	Wikipedia
All your base are belong to us	All your base are belong to us
Nederlandia	Países Bajos
Lolcat	Lolcat
Penis	Pene
PHP	PHP
Novum Eboracum (urbs)	Nueva York
Vasingtonia (D.C.)	Washington D. C.
Franciscopolis (California)	San Francisco (California)
Berolinum	Berlín
Angelopolis	Los Ángeles
Airbus	Airbus
Computatrum	Computadora
Berna (urbs)	Berna
Genava	Ginebra
Turicum (urbs)	Zúrich
Interrete	Internet
Baracus Obama	Barack Obama
Uraquaria	Uruguay
Basilea	Basilea
Typographum	Impresora
MediaVici	MediaWiki
Londinium	Londres
Cairus	El Cairo
Capitis dolor	Cefalea
Alexandria	Alejandría
Malum	Manzana
Lutetia	París
Abrahamus Lincoln	Abraham Lincoln
Google	Google
Mexicum	México
Oceanus Atlanticus	Océano Atlántico
Oceanus Pacificus	Océano Pacífico
California	California
Bostonia	Boston
Dies lunae	Lunes
Spatium	Espacio (física)
Ianuarius	Enero
Februarius	Febrero
Martius	Marzo
Mars (planeta)	Marte (planeta)
Mars (deus)	Marte (mitología)
Kenia	Kenia
Aethiopia	Etiopía
Gana	Ghana
Aprilis	Abril
Maius	Mayo
Iunius	Junio
Iulius	Julio
Sextilis	Agosto
September	Septiembre
October	Octubre
November	Noviembre
December	Diciembre
Dies Martis	Martes
Dies Mercurii	Miércoles
Dies Iovis	Jueves
Dies Veneris	Viernes
Dies Saturni	Sábado
Dies solis	Domingo
Episcopus (scacci)	Alfil
Pedes (scacci)	Peón (ajedrez)
Equus (scacci)	Caballo (ajedrez)
Turris (scacci)	Torre (ajedrez)
Rex (scacci)	Rey (ajedrez)
Regina (scacci)	Dama (ajedrez)
Leo	Panthera leo
Francia	Francia
Lingua Esperantica	Esperanto
Canis	Canis lupus familiaris
Britanniarum Regnum	Reino Unido
Feles	Felis silvestris catus
Res publica popularis Sinarum	República Popular China
Lingua Francogallica	Idioma francés
Victionarium	Wikcionario
Piscis	Pisces
Ethanol	Etanol
Brasilia	Brasil
Alcohol	Alcohol
Franciscus Hollande	François Hollande
Russia	Rusia
Cetacea	Cetacea
Fibra optica	Fibra óptica
Isuria	Yorkshire
Quadrum	Cuadrado
Mare	Mar
Pontus Euxinus	Mar Negro
Numerus pi	Número π
Pi (littera Graeca)	Π
Vici	Wiki
Torontum	Toronto
Alabama	Alabama
Paulopolis	São Paulo
Sanctus Paulus (provincia)	Estado de São Paulo
Quebecum	Quebec
Placenta Neapolitana	Pizza
Pasta	Pasta
