Afrika	África
Japonija	Japón
Pietų Amerika	América del Sur
Norvegija	Noruega
Anglija	Inglaterra
Škotija	Escocia
Velsas	Gales
Šiaurės Airija	Irlanda del Norte
Airija	Irlanda
Vengrija	Hungría
Ispanija	España
Jungtinės Amerikos Valstijos	Estados Unidos
Belgija	Bélgica
Liuksemburgas	Luxemburgo
Visata	Universo
Žemė	Tierra
Gyvybė	Vida
Mirtis	Muerte
Žmogus	Homo sapiens
Laimė	Felicidad
George Washington	George Washington
Jack Bauer	Jack Bauer
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Majų kalendorius	Calendario maya
Suomija	Finlandia
Švedija	Suecia
Danija	Dinamarca
Lenkija	Polonia
Lietuva	Lituania
Italija	Italia
Šveicarija	Suiza
Austrija	Austria
Graikija	Grecia
Turkija	Turquía
Alus	Cerveza
Portugalija	Portugal
Europa	Europa
Azija	Asia
Šiaurės Amerika	América del Norte
Antarktida	Antártida
Vikipedija	Wikipedia
Nyderlandai	Países Bajos
Varpa (lytinis organas)	Pene
PHP	PHP
Niujorkas	Nueva York
Vašingtonas	Washington D. C.
San Fransiskas	San Francisco (California)
Berlynas	Berlín
Los Andželas	Los Ángeles
Boeing	Boeing
Airbus	Airbus
Kompiuteris	Computadora
Bernas	Berna
Ženeva	Ginebra
Ciurichas	Zúrich
IRC	Internet Relay Chat
Internetas	Internet
Barack Obama	Barack Obama
Urugvajus	Uruguay
Bazelis	Basilea
Spausdintuvas	Impresora
MediaWiki	MediaWiki
Londonas	Londres
Kairas	El Cairo
Galvos skausmas	Cefalea
Aleksandrija	Alejandría
Aleksandrija (Virdžinija)	Alexandria
Obuolys	Manzana
Paryžius	París
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Meksika	México
Atlanto vandenynas	Océano Atlántico
Ramusis vandenynas	Océano Pacífico
Kalifornija	California
Bostonas	Boston
Pirmadienis	Lunes
Erdvė	Espacio (física)
Sausis	Enero
Vasaris	Febrero
Kovas	Marzo
Marsas (planeta)	Marte (planeta)
Marsas (mitologija)	Marte (mitología)
Kenija	Kenia
Etiopija	Etiopía
Monarchas	Monarca
Gana	Ghana
Balandis	Abril
Gegužė	Mayo
Birželis	Junio
Liepa	Julio
Rugpjūtis	Agosto
Rugsėjis	Septiembre
Spalis	Octubre
Lapkritis	Noviembre
Gruodis	Diciembre
Antradienis	Martes
Trečiadienis	Miércoles
Ketvirtadienis	Jueves
Penktadienis	Viernes
Šeštadienis	Sábado
Sekmadienis	Domingo
Rikis (šachmatai)	Alfil
Pėstininkas (šachmatai)	Peón (ajedrez)
Žirgas (šachmatai)	Caballo (ajedrez)
Bokštas (šachmatai)	Torre (ajedrez)
Karalius (šachmatai)	Rey (ajedrez)
Valdovė	Dama (ajedrez)
Liūtas	Panthera leo
Prancūzija	Francia
Esperanto	Esperanto
Šuo	Canis lupus familiaris
Jungtinė Karalystė	Reino Unido
Katė	Felis silvestris catus
Kinijos Liaudies Respublika	República Popular China
Prancūzų kalba	Idioma francés
Vikižodynas	Wikcionario
Žuvys	Pisces
Etanolis	Etanol
Alkoholinis gėrimas	Bebida alcohólica
Brazilija	Brasil
Alkoholis	Alcohol
François Hollande	François Hollande
Rusija	Rusia
Banginiai	Cetacea
Skaidula	Fibra textil
Šviesolaidis	Fibra óptica
Jorkšyras	Yorkshire
Kvadratas	Cuadrado
Jūra	Mar
Juodoji jūra	Mar Negro
Pi	Número π
Pi (raidė)	Π
Wiki	Wiki
Torontas	Toronto
Alabama	Alabama
San Paulas	São Paulo
San Paulas (valstija)	Estado de São Paulo
Kvebekas	Quebec
Pica	Pizza
Pasta (makaronai)	Pasta
Boeing 747	Boeing 747
Vikimedijos fondas	Fundación Wikimedia
Jimmy Wales	Jimmy Wales
Vokietija	Alemania
Baltarusija	Bielorrusia
Larry Sanger	Larry Sanger
Italijos himnas	Il Canto degli Italiani
Vokiečių kalba	Idioma alemán
Islandija	Islandia
Dievas	Dios
Estija	Estonia
David Cameron	David Cameron
Saturnas	Saturno (planeta)
Saturno žiedai	Anillos de Saturno
Šokoladas	Chocolate
Lėktuvas	Avión
Karas	Guerra
1 (skaičius)	Uno
2 (skaičius)	Dos
3 (skaičius)	Tres
4 (skaičius)	Cuatro
5 (skaičius)	Cinco
0 (skaičius)	Cero
Begalybė	Infinito
George Walker Bush	George W. Bush
Stačiakampis	Rectángulo
Latvija	Letonia
Ukraina	Ucrania
Čekija	República Checa
Slovakija	Eslovaquia
Slovėnija	Eslovenia
Vilnius	Vilna
Moldavija	Moldavia
Rumunija	Rumania
Bulgarija	Bulgaria
Makedonija	República de Macedonia
Albanija	Albania
Grenlandija	Groenlandia
Kroatija	Croacia
Bosnija ir Hercegovina	Bosnia y Herzegovina
Nukas	Nuuk
Azerbaidžanas	Azerbaiyán
Andora	Andorra
Kipras	Chipre
Gruzija	Georgia
Valonija	Región Valona
Kazachstanas	Kazajistán
Malta	Malta
Monakas	Mónaco
Juodkalnija	Montenegro
Vatikanas	Ciudad del Vaticano
San Marinas	San Marino
Briuselis	Bruselas
Briuselio-sostinės regionas	Región de Bruselas-Capital
Kuba	Cuba
Belizas	Belice
Eifelio bokštas	Torre Eiffel
Barbadosas	Barbados
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel Corporation
Klaviatūra	Teclado (informática)
Java (kalba)	Java (lenguaje de programación)
Indonezija	Indonesia
Qwerty	Teclado QWERTY
Volfgangas Amadėjus Mocartas	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turkų kalba	Idioma turco
Pietų Afrikos Respublika	Sudáfrica
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Alžyras	Argelia
Vikišaltiniai	Wikisource
Uzbekija	Uzbekistán
Poznanė	Poznań
Taškentas	Taskent
Varšuva	Varsovia
Aila	Islay
Eurovizijos dainų konkursas	Festival de la Canción de Eurovisión
Modena	Módena
Viskis	Whisky
Vynas	Vino
Vanduo	Agua
Konjakas	Coñac
Mediena	Madera
Tūras	Tours
Televizija	Televisión
Lytis	Sexo
Pornografija	Pornografía
Islandų kalba	Idioma islandés
Claude Monet	Claude Monet
Diego de Silva y Velázquez	Diego Velázquez
Čilė	Chile
El Greco	El Greco
Jėzus Kristus	Jesús de Nazaret
Elvis Presley	Elvis Presley
Galilėjus	Galileo Galilei
Merkurijus (planeta)	Mercurio (planeta)
Istorija	Historia
Per Lašezas	Cementerio del Père-Lachaise
Apple Inc.	Apple
Venera (planeta)	Venus (planeta)
Kalba	Lenguaje
Meilė	Amor
Diktatūra	Dictadura
Galaktika	Galaxia
Jupiteris (planeta)	Júpiter (planeta)
Michelle Bachelet	Michelle Bachelet
Paukščių Takas	Vía Láctea
Lanvairpulgvigilgogerihuirndrobulantisiliogogogohas	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Didysis sprogimas	Teoría del Big Bang
Uranas (planeta)	Urano (planeta)
Angliškoji Vikipedija	Wikipedia en inglés
Nicolas Sarkozy	Nicolas Sarkozy
Neptūnas (planeta)	Neptuno (planeta)
Astronomija	Astronomía
Singapūras	Singapur
Mokslas	Ciencia
Čaubunagungamaugo ežeras	Lago Chaubunagungamaug
Kosmologija	Cosmología
Plutonas (nykštukinė planeta)	Plutón (planeta enano)
Monrealis	Montreal
Laisvoji programinė įranga	Software libre
Marija (Jėzaus motina)	María (madre de Jesús)
Liudvikas IX Šventasis	Luis IX de Francia
Lichtenšteinas	Liechtenstein
Sportas	Deporte
Kembridžas	Cambridge
Jeloustono nacionalinis parkas	Parque nacional de Yellowstone
Adolfas Hitleris	Adolf Hitler
Facebook	Facebook
Google+	Google+
Wikileaks	WikiLeaks
Julian Assange	Julian Assange
Pirmasis pasaulinis karas	Primera Guerra Mundial
Antrasis pasaulinis karas	Segunda Guerra Mundial
Trečiasis pasaulinis karas	Tercera Guerra Mundial
Kelnas	Colonia (Alemania)
Vikiknygos	Wikilibros
Augusto Pinochet	Augusto Pinochet
Vikicitatos	Wikiquote
Vikiversitetas	Wikiversidad
Degtinė	Vodka
Laikrodis	Reloj
Janka Kupala	Yanka Kupala
Ubuntu	Ubuntu
Skopjė	Skopie
Gdynė	Gdynia
Bob Dylan	Bob Dylan
Ščecinas	Szczecin
Matematika	Matemáticas
U2	U2
Lotynų kalba	Latín
Bahreinas	Baréin
Armėnija	Armenia
Jenna Jameson	Jenna Jameson
Dantiraštis	Escritura cuneiforme
Higso bozonas	Bosón de Higgs
Serbija	Serbia
Mėnulis	Luna
Stambulas	Estambul
Australija	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiologija	Astrobiología
Fizika	Física
Argentina	Argentina
Silbo Gomero kalba	Silbo gomero
Telekomunikacijos	Telecomunicación
Peru	Perú
Biologija	Biología
Neatpažintas skraidantis objektas	Objeto volador no identificado
Šiaurės Korėja	Corea del Norte
Kambodža	Camboya
Becibuka	Río Betsiboka
Gyvūnų teisės	Derechos de los animales
Koiperio juosta	Cinturón de Kuiper
Koranas	Corán
Dinozaurai	Dinosauria
Zoologija	Zoología
Islamas	Islam
Kriaušė	Pyrus
Aleksandrijos biblioteka	Biblioteca de Alejandría
Liubliana	Liubliana
Salvador Allende	Salvador Allende
Botanika	Botánica
Lech Wałęsa	Lech Wałęsa
Ratas	Rueda
Encyclopédie	L'Encyclopédie
Denis Diderot	Denis Diderot
Taika	Paz
Encyclopædia Britannica	Enciclopedia Británica
Lionas	Lyon
Europos Sąjunga	Unión Europea
Plovdivas	Plovdiv
Žvaigždžių karai	Star Wars
Rona-Alpės	Ródano-Alpes
Saitynas	World Wide Web
Moteris	Mujer
Daisono sfera	Esfera de Dyson
Sofija	Sofía
Akvedukas	Acueducto
Ñ	Ñ
Don Kichotas	Don Quijote de la Mancha
Poezija	Poesía
Virusas (programa)	Virus informático
Černobylio avarija	Accidente de Chernóbil
Milanas	Milán
Draugystė	Amistad
Atmintis	Memoria (proceso)
Arthur Rimbaud	Arthur Rimbaud
Turinas	Turín
Išmatos	Excremento
Išangė	Ano
Pažastis	Axila
Tikrasis citrinmedis	Citrus × limon
Charles Baudelaire	Charles Baudelaire
Stendalis	Stendhal
Émile Zola	Émile Zola
666 m.	666
Žiedas	Flor
Gugolas	Gúgol
Marianų lovys	Fosa de las Marianas
Vladimiras Vysockis	Vladímir Vysotski
Džomolungma	Monte Everest
Anatomija	Anatomía
Miestas	Ciudad
Napoleonas Bonapartas	Napoleón Bonaparte
Olimpo Kalnas (Marsas)	Monte Olimpo (Marte)
Fiziologija	Fisiología
Žvaigždė	Estrella
Vezuvijus	Monte Vesubio
Saulė	Sol
Dangus	Cielo
Louis Pasteur	Louis Pasteur
Šviesmetis	Año luz
Kaimas	Pueblo (población rural)
Victor Hugo	Victor Hugo
Okeanija	Oceanía
Giuseppe Garibaldi	Giuseppe Garibaldi
Freenet	Freenet
Orvjetas	Orvieto
Lengvoji atletika	Atletismo
Cenzūra	Censura
Saulės sistema	Sistema Solar
Baltijos jūra	Mar Báltico
Triestas	Trieste
Vysla	Vístula
Siaminis gaidukas	Betta splendens
Eliziejaus laukų alėja	Avenida de los Campos Elíseos
Odra	Óder
Vandenilis	Hidrógeno
Helis	Helio
Pragaras	Infierno
Vikiteka	Wikimedia Commons
Skaistykla	Purgatorio
Angela Merkel	Angela Merkel
Litis	Litio
Berilis	Berilio
Garsiakalbis	Altavoz
Knyga	Libro
Para	Día
Rytų Timoras	Timor Oriental
Naktis	Noche
Metai	Año
Šimtmetis	Siglo
Lodzė	Łódź
Vilerbanas	Villeurbanne
Monblanas	Mont Blanc
Reinas	Rin
Oslas	Oslo
Bona	Bonn
Visų šventųjų diena	Día de Todos los Santos
Katovicai	Katowice
Juodoji bedugnė	Agujero negro
Neliečiamieji (2011)	Intouchables
Cerera (nykštukinė planeta)	Ceres (planeta enano)
Lisabona	Lisboa
Žešuvas	Rzeszów
Haumea	Haumea (planeta enano)
Rona	Ródano
Makemake	Makemake (planeta enano)
Michael Bloomberg	Michael Bloomberg
Lytiniai santykiai	Comportamiento sexual humano
Eridė (nykštukinė planeta)	Eris (planeta enano)
Dubajus	Dubái (ciudad)
Lionel Messi	Lionel Messi
Božolė	Viñedo de Beaujolais
Paduja	Padua
Boras	Boro
Mikalojus Kopernikas	Nicolás Copérnico
Versalis	Versalles
Liudvigsburgas	Luisburgo
Anglis	Carbono
Alessandro Del Piero	Alessandro Del Piero
Volga	Volga
Azotas	Nitrógeno
Bergamas	Bérgamo
Deguonis	Oxígeno
Internazionale Milano FC	Inter de Milán
Planeta	Planeta
Kleopatra VII	Cleopatra VII
Kate Bush	Kate Bush
Muzika	Música
Aberacija (optika)	Aberración en sistemas ópticos
Venecija	Venecia
Naruto	Naruto
Po (upė)	Po
Šarm el Šeichas	Sharm el-Sheij
Neva	Río Nevá
Termometras	Termómetro
Renas	Rennes
Lilis	Lille
Maskva	Moscú
Fluoras	Flúor
