Африк	África
Япон	Japón
Өмнөд Америк	América del Sur
Норвеги	Noruega
Англи	Inglaterra
Шотланд	Escocia
Уэльс	Gales
Умард Ирланд	Irlanda del Norte
Ирланд	Irlanda
Унгар	Hungría
Испани	España
Америкийн Нэгдсэн Улс	Estados Unidos
Бельги	Bélgica
Люксембург	Luxemburgo
Орчлон	Universo
Дэлхий	Tierra
Амьдрал	Vida
Үхэл	Muerte
Хүн	Homo sapiens
Жорж Вашингтон	George Washington
Тим Бернерс-Ли	Tim Berners-Lee
Стэнли Кубрик	Stanley Kubrick
Финланд	Finlandia
Швед	Suecia
Дани	Dinamarca
Польш	Polonia
Литва	Lituania
Итали	Italia
Швейцари	Suiza
Австри	Austria
Грек	Grecia
Турк	Turquía
Шар айраг	Cerveza
Португал улс	Portugal
Европ	Europa
Ази	Asia
Хойд Америк	América del Norte
Антарктид	Antártida
Википедиа	Wikipedia
Нидерланд	Países Bajos
PHP	PHP
Нью-Йорк хот	Nueva York
Вашингтон хот	Washington D. C.
Сан-Франциско	San Francisco (California)
Берлин	Berlín
Лос-Анжелес	Los Ángeles
Боинг	Boeing
Компьютер	Computadora
Берн	Berna
Женев	Ginebra
Цюрих хот	Zúrich
Интернэт	Internet
Барак Обама	Barack Obama
Уругвай	Uruguay
Базель хот	Basilea
Хэвлүүр	Impresora
Лондон	Londres
Каир	El Cairo
Александрия	Alejandría
Алим	Manzana
Парис	París
Абрахам Линкольн	Abraham Lincoln
Андройд (үйлдлийн систем)	Android
Google	Google
Мексик	México
Атлантын далай	Océano Atlántico
Номхон далай	Océano Pacífico
Калифорни	California
Даваа гараг	Lunes
Огторгуй	Espacio (física)
1 сар	Enero
2 сар	Febrero
Ангараг	Marte (planeta)
Кени	Kenia
Этиоп	Etiopía
Ван	Monarca
Гана	Ghana
Мягмар гараг	Martes
Лхагва гараг	Miércoles
Баасан гараг	Viernes
Бямба гараг	Sábado
Ням гараг	Domingo
Тэмээ (шатар)	Alfil
Хүү (шатар)	Peón (ajedrez)
Морь (шатар)	Caballo (ajedrez)
Тэрэг (шатар)	Torre (ajedrez)
Ноён (шатар)	Rey (ajedrez)
Бэрс	Dama (ajedrez)
Арслан	Panthera leo
Франц	Francia
Эсперанто	Esperanto
Нохой	Canis lupus familiaris
Их Британи	Reino Unido
Муур	Felis silvestris catus
Бүгд Найрамдах Хятад Ард Улс	República Popular China
Франц хэл	Idioma francés
Этанол	Etanol
Бразил	Brasil
Оросын Холбооны Улс	Rusia
Халим	Cetacea
Квадрат	Cuadrado
Тэнгис	Mar
Хар тэнгис	Mar Negro
Пи	Número π
Вики	Wiki
Торонто	Toronto
Алабама	Alabama
Сан-Паулу	São Paulo
Сан-Паулу муж	Estado de São Paulo
Кэбэк	Quebec
Пицца	Pizza
Жимми Уэйлс	Jimmy Wales
Герман	Alemania
Беларусь	Bielorrusia
Герман хэл	Idioma alemán
Исланд	Islandia
Бурхан	Dios
Эстон	Estonia
Дэвид Кэмерон	David Cameron
Санчир	Saturno (planeta)
Шоколад	Chocolate
Интоор	Cereza
Нисэх онгоц	Avión
Дайн	Guerra
2 (тоо)	Dos
3 (тоо)	Tres
Хязгааргүй	Infinito
Стивен Харпер	Stephen Harper
Жорж Уокер Буш	George W. Bush
Латви	Letonia
Украин	Ucrania
Чех	República Checa
Словак	Eslovaquia
Словен	Eslovenia
Молдав	Moldavia
Румын	Rumania
Болгар улс	Bulgaria
Ром	Roma
Бүгд Найрамдах Македон Улс	República de Macedonia
Албани	Albania
Гренланд	Groenlandia
Хорват	Croacia
Босни ба Херцеговина	Bosnia y Herzegovina
Нуук	Nuuk
Азербайжан	Azerbaiyán
Андорра	Andorra
Кипр	Chipre
Гүрж	Georgia
Казахстан	Kazajistán
Мальт	Malta
Монако	Mónaco
Ватикан	Ciudad del Vaticano
Сан-Марино	San Marino
Брюссель	Región de Bruselas-Capital
Куба	Cuba
Белиз	Belice
Эйфелийн цамхаг	Torre Eiffel
Барбадос	Barbados
Intel	Intel Corporation
Компьютерийн гар	Teclado (informática)
Java	Java (lenguaje de programación)
Индонез	Indonesia
QWERTY	Teclado QWERTY
Вольфганг Амадей Моцарт	Wolfgang Amadeus Mozart
Людвиг ван Бетховен	Ludwig van Beethoven
Түрк хэл бичиг	Idioma turco
Өмнөд Африкийн Бүгд Найрамдах Улс	Sudáfrica
Линкин Парк	Linkin Park
Алжир	Argelia
Узбек улс	Uzbekistán
Ташкент	Taskent
Варшав	Varsovia
Модена	Módena
Дарс	Vino
Ус	Agua
Коньяк	Coñac
Телевиз	Televisión
Диего Веласкес	Diego Velázquez
Чили	Chile
Есүс Христ	Jesús de Nazaret
Элвис Пресли	Elvis Presley
Галилео Галилей	Galileo Galilei
Буд	Mercurio (planeta)
Түүх	Historia
Apple компани	Apple
Сугар	Venus (planeta)
Хэл	Lenguaje
Хайр	Amor
Дарангуйлал	Dictadura
Галактик	Galaxia
Бархасбадь	Júpiter (planeta)
Тэнгэрийн заадас	Vía Láctea
Их Тэсрэлт	Teoría del Big Bang
Тэнгэрийн ван	Urano (planeta)
Англи Википедиа	Wikipedia en inglés
Николя Саркози	Nicolas Sarkozy
Далайн ван	Neptuno (planeta)
Одон орон	Astronomía
Сингапур	Singapur
Шинжлэх ухаан	Ciencia
Космологи	Cosmología
Дэлхийн ван	Plutón (planeta enano)
Лихтенштейн	Liechtenstein
Спорт	Deporte
Адольф Гитлер	Adolf Hitler
Facebook	Facebook
Дэлхийн нэгдүгээр дайн	Primera Guerra Mundial
Дэлхийн хоёрдугаар дайн	Segunda Guerra Mundial
Кёльн	Colonia (Alemania)
Аугусто Пиночет	Augusto Pinochet
Үбүнтү	Ubuntu
Боб Дилан	Bob Dylan
Математик	Matemáticas
Латин хэл	Latín
Бахрейн	Baréin
Армен	Armenia
Хигсийн босон (цөмийн физик)	Bosón de Higgs
Серби	Serbia
Сар	Luna
Стамбул / Истанбул	Estambul
Австрали	Australia
Физик	Física
Аргентин	Argentina
Перу	Perú
Биологи	Biología
Умард Солонгос	Corea del Norte
Камбож / Кампуч	Camboya
Үлэг гүрвэл	Dinosauria
Ислам	Islam
Лийр	Pyrus
Люблян	Liubliana
Сальвадор Альенде	Salvador Allende
Ургамал судлал	Botánica
Европын Холбоо	Unión Europea
Пловдив	Plovdiv
Оддын дайн	Star Wars
Рона-Альп	Ródano-Alpes
Дэлхий дахины веб	World Wide Web
Эмэгтэй хүн	Mujer
Софи	Sofía
Шүлэг	Poesía
Компьютерын вирус	Virus informático
Чернобылийн осол	Accidente de Chernóbil
Милан	Milán
Артюр Рембо	Arthur Rimbaud
Турин	Turín
Нимбэг	Citrus × limon
Марианы хонхор	Fosa de las Marianas
Владимир Высоцкий	Vladímir Vysotski
Жомолунгма	Monte Everest
Хот	Ciudad
Наполеон I Бонапарт	Napoleón Bonaparte
Од	Estrella
Нар	Sol
Луи Пастер	Louis Pasteur
Гэрлийн жил	Año luz
Виктор Гюго	Victor Hugo
Нарны аймаг	Sistema Solar
Балтын тэнгис	Mar Báltico
Висла мөрөн	Vístula
Устөрөгч	Hidrógeno
Викимедиа Коммонс	Wikimedia Commons
Ангела Меркель	Angela Merkel
Ном	Libro
Хоног	Día
Зүүн Тимор	Timor Oriental
Шөнө	Noche
Жил	Año
Зуун	Siglo
Лодзь	Łódź
Рейн мөрөн	Rin
Осло	Oslo
Бонн	Bonn
Хар нүх	Agujero negro
Луис Камоэнс	Luís de Camões
Гэй	Gay
Церера	Ceres (planeta enano)
Лиссабон	Lisboa
Хаумеа	Haumea (planeta enano)
Макемаке	Makemake (planeta enano)
Эрида	Eris (planeta enano)
Дубай хот	Dubái (ciudad)
Лионель Месси	Lionel Messi
Николай Коперник	Nicolás Copérnico
Нүүрстөрөгч	Carbono
Алессандро Дель Пьеро	Alessandro Del Piero
Ижил	Volga
Азот	Nitrógeno
Хүчилтөрөгч	Oxígeno
Интернационале	Inter de Milán
Гариг	Planeta
VII Клеопатра	Cleopatra VII
Хөгжим	Música
Венец	Venecia
Нарүто	Naruto
Нева мөрөн	Río Nevá
Москва	Moscú
Фтор	Flúor
Итали хэл	Idioma italiano
Санкт-Петербург	San Petersburgo
Натри	Sodio
Магни	Magnesio
Хөнгөн цагаан	Aluminio
Шинэ Зеланд	Nueva Zelanda
Энэтхэг	India
Цахиур	Silicio
Тувалу	Tuvalu
Уан Пийс	One Piece
Фосфор (химийн элемент)	Fósforo
Андре Мари Ампер	André-Marie Ampère
Хүүрнэл зохиол	Prosa
Төмөр (химийн элемент)	Hierro
Тонга	Tonga
Хүхэр	Azufre
Дорно	Este
Вануату	Vanuatu
Мольер	Molière
Уильям Шекспир	William Shakespeare
Өмнө Холланд	Holanda Meridional
Палау	Palaos
Аргон	Argón
Науру	Nauru
Умар Холланд	Holanda Septentrional
Микронезийн Холбооны Улс	Estados Federados de Micronesia
Лионы Олимпик	Olympique de Lyon
Кальци	Calcio
Хар тугалга	Plomo
Маршаллын арлууд	Islas Marshall
Кирибати	Kiribati
Монгол Улс	Mongolia
Фижи	Fiyi
Венесуэл	Venezuela
Шатар	Ajedrez
Чингис хаан	Gengis Kan
Мэн	Maine
Хром	Cromo
Адуу	Equus ferus caballus
Амстердам	Ámsterdam
Амьтан	Animalia
Суринам	Surinam
Манган	Manganeso
Парагвай	Paraguay
Гайана	Guyana
Урлаг	Arte
Эквадор	Ecuador
Рени	Renio
Колумб	Colombia
Кобальт	Cobalto
Гүзээлзгэнэ	Fragaria
Буддын шашин	Budismo
Гронинген хот	Groninga
Боливи	Bolivia
Зэс	Cobre
Тринидад ба Тобаго	Trinidad y Tobago
Ургамал	Plantae
Цайр	Cinc
Нью-Хэмпшир	Nuevo Hampshire
Леонардо да Винчи	Leonardo da Vinci
Сент-Китс ба Невис	San Cristóbal y Nieves
Ямайк	Jamaica
Гренад улс	Granada (país)
Массачусеттс	Massachusetts
Гватемал	Guatemala
Гелдерланд	Güeldres
Коннектикут	Connecticut
Хавай	Hawái
Гондурас	Honduras
Умард мөсөн далай	Océano Ártico
Гаити	Haití
Иран улс	Irán
Ирак	Irak
Аляска	Alaska
Коста-Рика	Costa Rica
Израиль	Israel
Утрехт хот	Utrecht
Панам	Panamá
Йемен	Yemen
Вирус	Virus
Польш хэл	Idioma polaco
Иордан	Jordania
Никарагуа	Nicaragua
Флорида	Florida
Кыргызстан	Kirguistán
Аризона	Arizona
Кувейт	Kuwait
Лаос	Laos
Ливан	Líbano
Орегон	Oregón
Мальдив	Maldivas
Америк тив	América
Юта	Utah
Малайз	Malasia
Михаил Булгаков	Mijaíl Bulgákov
Мьянмар	Birmania
Балба	Nepal
Оман	Omán
Пакистан	Pakistán
Катар	Catar
Теннис	Tenis
MySQL	MySQL
Саудын Араб	Arabia Saudita
Шри-Ланка	Sri Lanka
Иосиф Сталин	Iósif Stalin
Шугаман код	Código de barras
Сири	Siria
Платон	Platón
Тажик улс	Tayikistán
Бүгд Найрамдах Хятад Улс	República de China
Германи	Germanio
Аристотель	Aristóteles
Тайланд	Tailandia
Галт тэрэг	Tren
Радио	Radiocomunicación
Мерил Стрип	Meryl Streep
Туркменистан	Turkmenistán
Абакан	Abakán
Арабын Нэгдсэн Эмирт Улс	Emiratos Árabes Unidos
Вьетнам	Vietnam
Чарльз Спенсер Чаплин	Charles Chaplin
Новосибирск	Novosibirsk
Өмнөд Солонгос	Corea del Sur
Екатеринбург	Ekaterimburgo
Афганистан	Afganistán
Доод Новгород	Nizhni Nóvgorod
Жон Толкин	J. R. R. Tolkien
Самар хот	Samara
Алт	Oro
Омск	Omsk
Суэцийн суваг	Canal de Suez
Казань	Kazán
Бангладеш	Bangladés
Блич	Bleach
Франц Кафка	Franz Kafka
Челябинск	Cheliábinsk
Донын Ростов	Rostov del Don
Уфа	Ufá
Мали	Malí
Сократ	Sócrates
Волгоград	Volgogrado
Ангол	Angola
Пермь	Perm
Бутан	Bután
Твиттер	Twitter
Красноярск	Krasnoyarsk
Бруней	Brunéi
Танзани	Tanzania
Мөнгөн ус	Mercurio (elemento)
Филиппин	Filipinas
Үзүмаки Нарүто	Naruto Uzumaki
Өмнөд туйл	Polo Sur
Умард туйл	Polo Norte
Исаак Ньютон	Isaac Newton
Альберт Эйнштейн	Albert Einstein
Иттри	Itrio
Висмут	Bismuto
Квант механик	Mecánica cuántica
Дональд Туск	Donald Tusk
Тунис	Túnez
Жон Бардин	John Bardeen
Замби	Zambia
Зимбабве	Zimbabue
Бээжин	Pekín
Владивосток	Vladivostok
Бүгд Найрамдах Тува Улс	Tuvá
Бенин	Benín
Ботсвана	Botsuana
Бурунди	Burundi
Бүгд Найрамдах Конго Улс	República del Congo
Обь	Río Obi
Бүгд Найрамдах Ардчилсан Конго Улс	República Democrática del Congo
Полони	Polonio
Бавар	Baviera
Баден-Вюртемберг	Baden-Wurtemberg
Эритрей	Eritrea
Шинэ Дели	Nueva Delhi
II Иоанн Павел	Juan Pablo II
Фёдор Достоевский	Fiódor Dostoyevski
Камчаткын хойг	Península de Kamchatka
Тбилис	Tiflis
Андрей Сахаров	Andréi Sájarov
Астат	Ástato
Габон	Gabón
Махатма Ганди	Mahatma Gandhi
Чукотын хойг	Península de Chukchi
Комикс	Historieta
Гамби	Gambia
Гвиней	Guinea
Кот д'Ивуар	Costa de Marfil
Камерун	Camerún
Лесото	Lesoto
Ливи	Libia
Ахен	Aquisgrán
Мадагаскар	Madagascar
Малави	Malaui
Штутгарт	Stuttgart
Мавритан	Mauritania
Марокко	Marruecos
Мозамбик	Mozambique
Намиби	Namibia
Нигер	Níger
Нигери	Nigeria
Чарльз Дарвин	Charles Darwin
Уганда	Uganda
Руанда	Ruanda
Циркони	Circonio
Карлсруэ	Karlsruhe
Сенегал	Senegal
Карл Линней	Carlos Linneo
Сьерра-Леоне	Sierra Leona
Сомали	Somalia
Жавахарлал Неру	Sri Pandit Jawaharlal Nehru
Юлий Цезарь	Julio César
Судан	Sudán
Свазиланд	Suazilandia
Солонго	Arco iris
Молибден	Molibdeno
Бодисын солилцоо	Metabolismo
Онтарио нуур	Lago Ontario
Эволюци	Evolución biológica
Нэгдсэн Үндэстний Байгууллага	Organización de las Naciones Unidas
Данте Алигери	Dante Alighieri
Геологи	Geología
Ахмадабад	Ahmedabad
Газарзүй	Geografía
Зүрх	Corazón
Тархи	Cerebro
Арьс	Piel
Өнгө	Color
Нэр үг	Sustantivo
Прага	Praga
Роди	Rodio
Мөнгө (химийн элемент)	Plata
Уран (химийн элемент)	Uranio
Умар Брабант	Brabante Septentrional
Плутони	Plutonio
Анимэ	Anime
Цахилгаан цэнэг	Carga eléctrica
Бари	Bario
Тори	Torio
Актини	Actinio
Билл Клинтон	Bill Clinton
Индира Ганди	Indira Gandhi
Гектор Берлиоз	Hector Berlioz
Мумбай	Bombay
Андра Прадеш	Andhra Pradesh
Бихар	Bihar
Мичиган	Míchigan
Аквитан муж	Aquitania
Жарканд	Jharkhand
Карнатака	Karnataka
Мадхья-Прадеш	Madhya Pradesh
Усэйн Болт	Usain Bolt
Лимузен	Lemosín
Махараштра	Maharastra
Мекленбург – Өрнө Померан	Mecklemburgo-Pomerania Occidental
Доор Саксон	Baja Sajonia
Хессен	Hesse
Жон Леннон	John Lennon
Иллиной	Illinois
Саксон-Анхальт	Sajonia-Anhalt
Хойд Дакота	Dakota del Norte
Бранденбург	Brandeburgo
Бремен муж	Bremen (estado)
Ломбард муж	Lombardía
Өмнөд Дакота	Dakota del Sur
Вайоминг	Wyoming
Иерусалим	Jerusalén
Жиоржио Наполитано	Giorgio Napolitano
Айдахо	Idaho
Вашингтон Муж Улс	Washington (estado)
Невада	Nevada
Энэтхэгийн далай	Océano Índico
Энрико Де Никола	Enrico De Nicola
Косово	Kosovo
Карибын тэнгис	Mar Caribe
Хасси	Hassio
Кофи Аннан	Kofi Annan
Колорадо	Colorado
У Тант	U Thant
Колорадо мөрөн	Río Colorado
Даг Хаммаршёлд	Dag Hammarskjöld
Фредерик Шопен	Frédéric Chopin
Леонард Коэн	Leonard Cohen
Ангилал:Тулгуур	Categoría:Índice de categorías
Лацио муж	Lacio
Альпийн нуруу	Alpes
Блез Паскаль	Blaise Pascal
Зуун буудалт даам	Damas
Дортмунд	Dortmund
Гент	Gante
Чикаго	Chicago
The Beatles	The Beatles
Маастрихт	Maastricht
Арнем	Arnhem
Өвөл	Invierno
Зун	Verano
Осама бен Ладен	Osama bin Laden
Испани хэл	Idioma español
Фридрих Хаек	Friedrich Hayek
Иоганн Себастьян Бах	Johann Sebastian Bach
Антонио Вивальди	Antonio Vivaldi
Тольятти	Toliatti
Дуурь	Ópera
Филадельфия	Filadelfia
Калькутта	Calcuta
Ченнай	Chennai
Дели	Delhi
Дакка	Daca
Үет хөлтөн	Arthropoda
Исламабад	Islamabad
Трипура	Tripura
Жимс	Fruto
Сармагчин	Mono
Мөнгө	Dinero
Виржини	Virginia
Баруун Виржини	Virginia Occidental
Нью-Йорк Муж Улс	Nueva York (estado)
Рөүд-Айленд	Rhode Island
Шавьж	Insecta
Мэрилэнд	Maryland
Делавар	Delaware
Владимир Ильич Ленин	Lenin
Охайо	Ohio
Вергилий	Virgilio
Пеннсилвани	Pensilvania
Итерзен	Uetersen
Август Цезарь	César Augusto
Windows	Microsoft Windows
Тибериус	Tiberio
Калигула	Calígula
Гибралтар	Gibraltar
Клавдий	Claudio
Индиана муж	Indiana
Автомашин	Automóvil
Ювентус	Juventus de Turín
Траян	Trajano
Рожер Федерер	Roger Federer
Жоржиа	Georgia (Estados Unidos)
Антонини Пи	Antonino Pío
Марк Аврелий	Marco Aurelio
Загреб	Zagreb
Техас	Texas
Каракалла	Caracalla
Генуя	Génova
Зүлэгний хоккей	Hockey sobre césped
Дэлдэн зараа	Hemiechinus auritus
Манила (Манил)	Manila
Себу	Cebú
Давао	Dávao
Кесон	Ciudad Quezón
Калоокан	Caloocan
Корасон Акино	Corazón Aquino
Буэнос-Айрес	Buenos Aires
Мехико	México, D. F.
Токио	Tokio
Барселон	Barcelona
Хан боргоцой	Ananas comosus
Миссиссиппи	Misisipi
Фернан Магеллан	Fernando de Magallanes
Миссисипи мөрөн	Río Misisipi
Уттар Прадеш	Uttar Pradesh
Теннесси	Tennessee
Рихард Вагнер	Richard Wagner
Абижан хот	Abiyán
Абу-Даби хот	Abu Dabi
Астана	Astaná
Нью-Мексико	Nuevo México
Афин	Atenas
Миннесота	Minnesota
Багдад	Bagdad
Каракас	Caracas
Висконсин	Wisconsin
Милан (хөлбөмбөгийн баг)	Associazione Calcio Milan
Айова	Iowa
Небраска	Nebraska
Канзас	Kansas
Гавана	La Habana
Хинди хэл	Hindi
Янжуур	Cigarrillo
Миссури	Misuri
Георг Ом	Georg Simon Ohm
Луйзиана	Luisiana
Кентакки	Kentucky
Арканзас	Arkansas
Нил Армстронг	Neil Armstrong
Урдү хэл	Urdu
Чарльз Линдберг	Charles Lindbergh
Замбоанга	Zamboanga
Антиполо	Antipolo
Тагиг	Taguig
Оклахома	Oklahoma
Иохан Блэйк	Yohan Blake
Жастин Гэтлин	Justin Gatlin
Дунай мөрөн	Danubio
Уоррен Вейр	Warren Weir
Кирани Жеймс	Kirani James
Лугелин Сантос	Luguelín Santos
Найжел Амос	Nijel Amos
Мо Фарах	Mohamed Farah
Эзекиль Кембой	Ezekiel Kemboi
Жейсон Ричардсон	Jason Richardson
Хойд тэнгис	Mar del Norte
Москва муж	Óblast de Moscú
Неста Картер	Nesta Carter
Стивен Кипротич	Stephen Kiprotich
Подстам	Potsdam
Ишлэл	Referencia bibliográfica
Ханновер	Hannover
Висбаден	Wiesbaden
Мюнхен	Múnich
Жаред Таллент	Jared Tallent
Дрезден	Dresde
Волейбол	Voleibol
Инсбрук	Innsbruck
Мутаз Эсса Баршим	Mutaz Essa Barshim
Вена	Viena
Рено Лавиллени	Renaud Lavillenie
Бьёрн Отто	Björn Otto
Мадонна (дуучин)	Madonna
Копенхаген	Copenhague
Калининград муж	Óblast de Kaliningrado
Уилл Клэй	Will Claye
Стокгольм	Estocolmo
Давид Шторль	David Storl
Мурманск муж	Óblast de Múrmansk
Дублин	Dublín
Рига	Riga
Герд Кантер	Gerd Kanter
Кристиан Парш	Krisztián Pars
Братислав	Bratislava
Будапешт	Budapest
Эштон Итон	Ashton Eaton
Майн дахь Франкфурт	Fráncfort del Meno
Вроцлав	Breslavia
