افريقا	África
جاپان	Japón
سوېلي امريکا	América del Sur
ناروې	Noruega
د آيرلېنډ جمهوريت	Irlanda
هنگري	Hungría
اسپانیا	España
د امریکا متحده ایالتونه	Estados Unidos
بلجیم	Bélgica
لوگزامبورگ	Luxemburgo
ځمکه	Tierra
ژوند	Vida
انسان	Homo sapiens
فېنلانډ	Finlandia
سويډن	Suecia
ډېنمارک	Dinamarca
پولنډ	Polonia
لېتوانيا	Lituania
اېټاليا	Italia
سويس	Suiza
اتريش	Austria
يونان	Grecia
تورکيه	Turquía
بير	Cerveza
پرتگال	Portugal
اروپا	Europa
آسيا	Asia
شمالي امريکا	América del Norte
انټارکټيکا	Antártida
ويکيپېډيا	Wikipedia
هالنډ	Países Bajos
نيويارک (ښار)	Nueva York
واشنگټن ډي سي	Washington D. C.
برلين	Berlín
سولگر	Computadora
څوریخ	Zúrich
انټرنټ	Internet
باراک حسين اوباما	Barack Obama
لندن	Londres
قاهره	El Cairo
مڼه	Manzana
پاريس	París
گووگل	Google
اتلانتيک سمندر	Océano Atlántico
غلی سمندر	Océano Pacífico
کالېفورنیا	California
دونۍ	Lunes
جنوري	Enero
فبروري	Febrero
مارچ	Marzo
مريخ	Marte (planeta)
کېنيا	Kenia
اېتوپیا	Etiopía
گانا	Ghana
اپرېل	Abril
مې	Mayo
جون	Junio
جولای	Julio
اگسټ	Agosto
سپټمبر	Septiembre
اکتوبر	Octubre
نومبر	Noviembre
ډيسمبر	Diciembre
درې نۍ	Martes
شورو	Miércoles
زيارت	Jueves
جمعه	Viernes
خالي	Sábado
يونۍ	Domingo
زمری	Panthera leo
فرانسه	Francia
سپی	Canis lupus familiaris
بريتانيا	Reino Unido
پيشو	Felis silvestris catus
چين د خلکو جمهوريت	República Popular China
فرانسوي ژبه	Idioma francés
اېتنول	Etanol
برازیل	Brasil
روسیه	Rusia
نهنگ	Cetacea
څلوريځ (مېچپوهنه)	Cuadrado
بوینگ ۷۴۷	Boeing 747
ويکيمېډيا بنسټ	Fundación Wikimedia
آلمان	Alemania
بېلاروس	Bielorrusia
آلماني ژبه	Idioma alemán
آيسلېنډ	Islandia
الله	Dios
اېسټونيا	Estonia
زحل	Saturno (planeta)
الوتکه	Avión
جگړه	Guerra
جورج واکر بوش	George W. Bush
اوکراین	Ucrania
چېک جمهوريت	República Checa
سلواکيا	Eslovaquia
سلووانیا	Eslovenia
مولدوا	Moldavia
رومانیا	Rumania
بلغاریا	Bulgaria
د مقدونيې ولسمشريزه	República de Macedonia
البانیا	Albania
کروواسيا	Croacia
آزربايجان	Azerbaiyán
اندورا	Andorra
گرجستان	Georgia
قزاقستان	Kazajistán
مالټا	Malta
مانتېنېگرو	Montenegro
واټيکان ښار	Ciudad del Vaticano
سان مارینو	San Marino
بروکسل	Región de Bruselas-Capital
بېلیز	Belice
باربادوس	Barbados
اندونيزيا	Indonesia
ولفگانگ امادیوس موزارت	Wolfgang Amadeus Mozart
لیودویگ وان بیتهووین	Ludwig van Beethoven
تورکي ژبه	Idioma turco
سویلي افریقا	Sudáfrica
الجزاير	Argelia
اوزبکستان	Uzbekistán
تاشکند	Taskent
اوبه	Agua
تلويزون	Televisión
چېلي	Chile
عيسی	Jesús de Nazaret
گاليليو گاليلی	Galileo Galilei
عطارد	Mercurio (planeta)
پېښليک	Historia
ژبه	Lenguaje
زورواکي	Dictadura
مشتري	Júpiter (planeta)
میشل باشله	Michelle Bachelet
ستورپوهنه	Astronomía
سينگاپور	Singapur
پوهنه	Ciencia
تکړښت	Deporte
اډولف هټلر	Adolf Hitler
فېس بوک	Facebook
ويکيلېکس	WikiLeaks
لومړنۍ نړېواله جگړه	Primera Guerra Mundial
دويمه نړېواله جگړه	Segunda Guerra Mundial
گړيال	Reloj
شچېچېن	Szczecin
شمېرپوهنه	Matemáticas
لاتين ژبه	Latín
بحرین	Baréin
ارمنستان	Armenia
مېخي ليکدود	Escritura cuneiforme
هیگزبوسون	Bosón de Higgs
سربيا	Serbia
سپوږمۍ	Luna
استنبول	Estambul
آسټراليا	Australia
پنځپوهنه	Física
ارجنټاین	Argentina
مخابرات	Telecomunicación
پيرو	Perú
ژونپوهنه	Biología
شمالي کوريا	Corea del Norte
کمبودیا	Camboya
قرآن	Corán
ډانگسر	Dinosauria
ژوپوهنه	Zoología
اسلام	Islam
ناک	Pyrus
بوټپوهنه	Botánica
لېخ والېسا	Lech Wałęsa
اروپايي اتحاديه	Unión Europea
WWW	World Wide Web
شعر	Poesía
کمپيوټري ويروس	Virus informático
ليمو	Citrus × limon
گل	Flor
ناپليون بوناپارت	Napoleón Bonaparte
لمر	Sol
آسمان	Cielo
وېکټور هوگو	Victor Hugo
اقيانوسيه	Oceanía
لمريز غونډال	Sistema Solar
هايډروجن	Hidrógeno
انگېلا مېرکل	Angela Merkel
لوړغږی	Altavoz
ورځ	Día
شپه	Noche
کال	Año
پېړۍ	Siglo
اوسلو	Oslo
جنسي اړيکې	Comportamiento sexual humano
دوبۍ	Dubái
آکسيجن	Oxígeno
سياره	Planeta
سندارا	Música
مسکو	Moscú
چاډ	Chad
الومېنيم	Aluminio
هند	India
اوسپنه	Hierro
لوېديځ	Oeste
گوگړ	Azufre
ساموا	Samoa
ختيځ	Este
وېليم شېکسپيير	William Shakespeare
نكل	Fábula
مارشال ټاپووان	Islas Marshall
مغولستان	Mongolia
سترنج	Ajedrez
چنگېز خان	Gengis Kan
آس	Equus ferus caballus
امسټرډام	Ámsterdam
وسله	Arma
ژوي	Animalia
سورينام	Surinam
گويانا	Guyana
اېکوادور	Ecuador
ځمکني توتان	Fragaria
بوديزم	Budismo
بولېویا	Bolivia
تامبه	Cobre
بوټی	Plantae
سېنټ لوسیا	Santa Lucía
ليونارډو ډاوېنچي	Leonardo da Vinci
چڼاس	Fungi
جمايکا	Jamaica
گرېنادا	Granada (país)
گواتمالا	Guatemala
هندوراس	Honduras
ډومنيکان جمهوريت	República Dominicana
اهلي خوگ	Sus scrofa domestica
شمالي قطبي سمندر	Océano Ártico
هایتي	Haití
اېلسلوادور	El Salvador
ايران	Irán
عراق	Irak
کوسټاریکا	Costa Rica
اسرائيل	Israel
پاناما	Panamá
يمن	Yemen
اردن	Jordania
