ئافرىقا	África
ياپونىيە	Japón
جەنۇبىي ئامېرىكا	América del Sur
نورۋېگىيە	Noruega
Shotlandiye	Escocia
Wélsh	Gales
ۋېنگرىيە	Hungría
ئىسپانىيە	España
ئامېرىكا قوشما شىتاتلىرى	Estados Unidos
بېلگىيە	Bélgica
ليۇكسېمبۇرگ	Luxemburgo
يەر شارى	Tierra
گېئورگى ۋاشىنگتون	George Washington
فىنلاندىيە	Finlandia
شۋېتسىيە	Suecia
دانىيە	Dinamarca
لەھىستان	Polonia
لىتۋا	Lituania
ئىتالىيە	Italia
شۋېتسارىيە	Suiza
ئاۋستىرىيە	Austria
گرېتسىيە	Grecia
تۈركىيە جۇمھۇرىيىتى	Turquía
پورتۇگالىيە	Portugal
ياۋروپا	Europa
ئاسىيا	Asia
شىمالىي ئامېرىكا	América del Norte
ۋىكىپېدىيە	Wikipedia
گوللاندىيە	Países Bajos
Nyu York Shehiri	Nueva York
ۋاشىنگتون	Washington D. C.
San Fransisko	San Francisco (California)
Bérlin	Berlín
Los Anjélés	Los Ángeles
كومپيۇتېر	Computadora
بېرن	Berna
Jenwe	Ginebra
سيۇرىخ	Zúrich
خەلقارالىق تور	Internet
باراك ئوباما	Barack Obama
ئۇرۇگۋاي	Uruguay
London	Londres
كايرو	El Cairo
ئالما	Manzana
پارىژ	París
مېكسىكا	México
Kaliforniye Shitati	California
Boston	Boston
مارس	Marte (planeta)
كېنىيە	Kenia
ئېفىئوپىيە	Etiopía
گانا جۇمھۇرىيىتى	Ghana
شىر	Panthera leo
فرانسىيە	Francia
ئېسپېرانتو	Esperanto
ئىت	Canis lupus familiaris
بۈيۈك بېرىتانىيە	Reino Unido
مۈشۈك	Felis silvestris catus
جۇڭخۇا خەلق جۇمھۇرىيىتى	República Popular China
فرانسۇز تىلى	Idioma francés
برازىلىيە	Brasil
روسىيە	Rusia
قارا دېڭىز	Mar Negro
Toronto	Toronto
Alabama Shitati	Alabama
San Pawlo	São Paulo
Kwébék	Quebec
ۋىكىپېدىيە ۋەخپى	Fundación Wikimedia
جىمى ۋالىس	Jimmy Wales
گېرمانىيە	Alemania
بېلورۇسسىيە	Bielorrusia
نېمىس تىلى	Idioma alemán
ئىسلاندىيە	Islandia
ئېستونىيە	Estonia
ساتۇرن	Saturno (planeta)
ئايروپىلان	Avión
جورج ۋولكېر بۇش	George W. Bush
لاتۋىيە	Letonia
ئۇكرائىنا	Ucrania
چېخ جۇمھۇرىيەتى	República Checa
سلوۋاكىيە	Eslovaquia
سلوۋېنىيە	Eslovenia
مولدوۋا	Moldavia
رۇمىنىيە	Rumania
بۇلغارىيە	Bulgaria
Rim	Roma
ماكېدونىيە	República de Macedonia
ئالبانىيە	Albania
گرېنلاندىيە	Groenlandia
كرودىيە	Croacia
بوسنىيە ۋە ھېرسېگوۋىنا	Bosnia y Herzegovina
ئەزەربەيجان	Azerbaiyán
ئاندوررا	Andorra
سىپرۇس	Chipre
گرۇزىيە	Georgia
قازاقىستان	Kazajistán
مالتا	Malta
موناكو	Mónaco
چېرنوگورىيە	Montenegro
ۋاتىكان شەھىرى	Ciudad del Vaticano
سان مارىنو	San Marino
Bryussél	Región de Bruselas-Capital
كۇبا	Cuba
بېلىز	Belice
باربادوس	Barbados
ئاممىباپ ئاپتوموبىل	Volkswagen
ھىندونېزىيە	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
بىتخوۋىن	Ludwig van Beethoven
تۈرك تىلى	Idioma turco
جەنۇبىي ئافرىقا	Sudáfrica
ئالجىرىيە	Argelia
ئۆزبېكىستان	Uzbekistán
Poznan	Poznań
Tashkent	Taskent
Warshawa	Varsovia
ياۋروۋىزىيون ناخشا مۇسابىقىسى	Festival de la Canción de Eurovisión
تېلېۋىزور	Televisión
ئىسلاندىيە تىلى	Idioma islandés
چىلى	Chile
ئەيسا مەسىھ	Jesús de Nazaret
گالىلېي	Galileo Galilei
مېركۇرىي	Mercurio (planeta)
تارىخ	Historia
ئالما شىركىتى	Apple
ۋېنېرا	Venus (planeta)
مۇھاببەت	Amor
يۇپىتېر	Júpiter (planeta)
سامان يولى سىستىمېسى	Vía Láctea
ئۇران (پلانىت)	Urano (planeta)
نىكولا ساركوزى	Nicolas Sarkozy
نېپتۇن	Neptuno (planeta)
ئاسترونومىيە	Astronomía
سىنگاپور	Singapur
پلۇتون	Plutón (planeta enano)
Montréal	Montreal
لىختېنشتېين	Liechtenstein
Kambrij	Cambridge
Facebook	Facebook
بىرىنچى دۇنيا ئۇرۇشى	Primera Guerra Mundial
Kolon	Colonia (Alemania)
سكوپليې	Skopie
Shchétsin	Szczecin
لاتىن تىلى	Latín
بەھرېيىن	Baréin
ئەرمېنىيە	Armenia
سېربىيە	Serbia
Istanbul	Estambul
ئاۋستىرالىيە	Australia
فىزىكا	Física
ئارگېنتىنا	Argentina
پېرۇ	Perú
بىئولوگىيە	Biología
شىمالىي چاۋشيەن	Corea del Norte
كامبوجا	Camboya
قۇرئان كەرىم	Corán
دىنوزاۋر	Dinosauria
ئىسلام دىنى	Islam
ليۇبليانا	Liubliana
Lion	Lyon
ياۋروپا ئىتتىپاقى	Unión Europea
سوفىيە	Sofía
شېئىر	Poesía
Milan	Milán
Turin	Turín
سوڭ	Ano
ئېۋېرېست	Monte Everest
ﻧﺎﭘﻮﻟﯧﺌﻮﻥ ﺑﻮﻧﺎﭘﺎﺭﺕ	Napoleón Bonaparte
ۋېزۇۋىي	Monte Vesubio
قۇياش	Sol
قۇياش سىستېمىسى	Sistema Solar
ھىدروگېن	Hidrógeno
گېلىي	Helio
چىش	Diente
لىتىي	Litio
بېرىللىي	Berilio
شەرقىي تىمور	Timor Oriental
ئوسلو	Oslo
Bonn	Bonn
سېرېرا	Ceres (planeta enano)
لىسبون	Lisboa
ئېرىدا	Eris (planeta enano)
دۇبائى	Dubái
بور	Boro
Wérsayl	Versalles
كاربون	Carbono
ۋولگا دەرياسى	Volga
ئازوت	Nitrógeno
ئوكسىگېن	Oxígeno
مۇزىكا	Música
Wénitsiye	Venecia
Rénn Shehiri	Rennes
Lil	Lille
Moskwa	Moscú
فىتور	Flúor
ئىتاليان تىلى	Idioma italiano
نىئون گازى	Neón
Sankt-Pétérburg	San Petersburgo
چاد	Chad
ناترىي	Sodio
ماگنىي	Magnesio
ئاليۇمىن	Aluminio
يېڭى زېلاندىيە	Nueva Zelanda
ھىندىستان	India
سىلىتسىي	Silicio
فرانسىي	Francio
Tuwalu	Tuvalu
فوسفور	Fósforo
تۆمۈر	Hierro
Ton’ga	Tonga
