IYunayithedi Steyitsi	Estados Unidos
Abantu	Homo sapiens
Switserii	Suiza
Ubhiya	Cerveza
Europe	Europa
I-Wikipedia	Wikipedia
ENetherlands	Países Bajos
Ikhompyutha	Computadora
EGeneva	Ginebra
Eyomqungu	Enero
Eyomdumba	Febrero
Eyokwindla	Marzo
Tshazimpuzi	Abril
Canzibe	Mayo
Eyesilimela	Junio
Eyekhala	Julio
Eyethupha	Agosto
Eyomsintsi	Septiembre
Eyedwarha	Octubre
Eyenkanga	Noviembre
Eyomnga	Diciembre
Ingonyama	Panthera leo
Inja	Canis lupus familiaris
Ikati	Felis silvestris catus
Intlanzi	Pisces
Brasil	Brasil
IRashiya	Rusia
IJamani	Alemania
IsiJamani	Idioma alemán
UThixo	Dios
Inqwelo-ntaka	Avión
Imfazwe	Guerra
Inye	Uno
Zimbini	Dos
Zintathu	Tres
Zine	Cuatro
Zintlanu	Cinco
Iqanda	Cero
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
UMzantsi Afrika	Sudáfrica
Iveyn	Vino
Amanzi	Agua
IChile	Chile
UYesu Kristu	Jesús de Nazaret
Imbali	Historia
Ulwimi	Lenguaje
IAstronomi	Astronomía
ISyensya	Ciencia
Ezemidlalo	Deporte
I-Mathematics	Matemáticas
IFiziki	Física
IBayoloji	Biología
Uxolo	Paz
UKat	Sol
Isibhakabhaka	Cielo
Incwadi	Libro
Umculo	Música
William Shakespeare	William Shakespeare
UStevie Wonder	Stevie Wonder
Itshesi	Ajedrez
IsiColombia	Colombia
I-Fungi	Fungi
Unomathotholo	Radiocomunicación
Igolide	Oro
I-South Pole	Polo Sur
Mauritania	Mauritania
INigeria	Nigeria
Julius Caesar	Julio César
Hamburg	Hamburgo
IJioloji	Geología
IJerusalem	Jerusalén
E-Chicago	Chicago
UBusika	Invierno
EKwindla	Otoño
Isiqhamo	Fruto
Imali	Dinero
Uetersen	Uetersen
Augustus	César Augusto
IHanoveri (eJamani)	Hannover
Frankfurt	Fráncfort del Meno
IBhayibhile	Biblia
Lenkonzo enyanisekileyo ka Krestu	Verdadera Iglesia de Jesús
IsiNgesi	Idioma inglés
Concepción	Concepción (Chile)
Końskowola	Końskowola
Inyoka	Serpentes
IKhemistri	Química
1 Eyokwindla	1 de marzo
18 Eyekhala	18 de julio
Ibhola ekhatywayo	Fútbol
UMichael Jackson	Michael Jackson
Ibhokhwe	Capra aegagrus hircus
Ukukhululeka	Libertad
I-Nile	Nilo
Category:Templates	Categoría:Wikipedia:Plantillas
E-Pitoli	Pretoria
Umlambo	Río
Osasco	Osasco
Curitiba	Curitiba
Confucius	Confucio
Category:Izibalo	Categoría:Matemáticas
Yentaka	Aves
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Iphepha Elingundoqo	Wikipedia:Portada
Iqakamba	Críquet
Ibhola yombhoxo	Rugby
IKapa	Ciudad del Cabo
EThekwini	Durban
Ifilosofi	Filosofía
Category:Candidates for speedy deletion	Categoría:Wikipedia:Borrar (definitivo)
I-Democracy	Democracia
IsiHolani	Idioma neerlandés
Vladimir Putin	Vladímir Putin
Igazi	Sangre
Imvula	Lluvia
Nelson Mandela	Nelson Mandela
I-logic	Lógica
Alexander Makedon	Alejandro Magno
Ikofu	Café
Intaba	Montaña
UbuKumkani bamaBritane	Imperio británico
Genesis	Génesis
Eksodus	Éxodo
Iilwandle	Océano
IChelsea	Chelsea Football Club
Umlomo	Boca
Ronald Reagan	Ronald Reagan
IsiZulu	Idioma zulú
Ihagu	Sus
Umthi	Árbol
Inyama	Carne
Imifuno	Verdura
Amazwi alula omculo wefowuni	Teléfono
Ityiwa	Sal
I-Karate	Karate
Iphepha	Papel
Google Maps	Google Maps
Isifo sephepha	Tuberculosis
Umlinganiselo	Medición
IsiXhosa	Idioma xhosa
IsiBhulu	Afrikáans
Itafile	Mesa
Template:Link FA	Plantilla:Destacado
Ithoba	Nueve
FIFuRoni da Futboll	Copa Mundial de Fútbol
Rafael Correa	Rafael Correa
ISosioloji	Sociología
Sixhenxe	Siete
Sibhozo	Ocho
Die Antwoord	Die Antwoord
Itswele	Allium cepa
Zintandathu	Seis
Paltoga	Paltoga
Entrena	Entrena
Ishumi	Diez
Iqwarhashe	Cebra
IsiPedi	Sesotho sa leboa
Valparaíso	Valparaíso
IsiSotho	Sesotho
UWhitney Houston	Whitney Houston
Imithetho elishumi	Diez Mandamientos
EGoli	Johannesburgo
USathane	Satanás
Ipolisa	Policía
Umhlaba	Suelo
Ibuzi	Rattus
Ishumi elinambini	Doce
Ishumi elinanye	Once
Ishumi elinantathu	Trece
EBloemfontein	Bloemfontein
Ishumi elinane	Catorce
Ishumi elinantlanu	Quince
Ishumi elinesibhozo	Dieciocho
Ishumi elinesithoba	Diecinueve
Ishumi elinesixhenxe	Diecisiete
Ishumi elinesithandathu	Dieciséis
Amashumi amabini	Veinte
Nonkala	Brachyura
Al Pacino	Al Pacino
Desmond Tutu	Desmond Tutu
IMayini	Minería
Iziphaluka zaseBritane eziphesheya kolwandle	Territorio británico de ultramar
Template:Commons Categories	Plantilla:Commonscat
Isifo sentsholongwane i-Ebola	Enfermedad por el virus del Ébola
Ixoxo	Anura
UJacob Zuma	Jacob Zuma
2014 FIFuRoni da Futboll	Copa Mundial de Fútbol de 2014
IPhondo yaKwaZulu-Natala	KwaZulu-Natal
Ulwaluko	Circuncisión
Ibandla LamaBapist	Iglesias bautistas
IBhayi	Puerto Elizabeth
IPhondo yaNtshona-Koloni	Provincia Occidental del Cabo
Umlenga	Anguilliformes
IPhondo laseMpuma-Koloni	Provincia Oriental del Cabo
IPhondo yaMpumalanga	Mpumalanga
IPhondo yaseMntla-Koloni	Provincia Septentrional del Cabo
IPhondo yaRhawuti	Gauteng
IPhondo yaLimpopo	Provincia de Limpopo
Zenzile Miriam Makeba	Miriam Makeba
Nkosazana Dlamini-Zuma	Nkosazana Dlamini-Zuma
Frederik de Klerk	Frederik de Klerk
Kgalema Motlanthe	Kgalema Motlanthe
IPhondo yaseMntla-Ntshona	Provincia del Noroeste
Iankile	Ancla
2010 FIFuRoni da Futboll	Copa Mundial de Fútbol de 2010
Idessert	Postre
UMarvin Gaye	Marvin Gaye
I-discourse	Discurso
Uluhlu lweendawo eMzantsi Afrika	Provincias de Sudáfrica
Robben island	Isla Robben
Iipijama	Pijama
Banovci (Nijemci)	Banovci (Nijemci)
Freshlyground	Freshlyground
Iilwimi zaseAfrika	Lenguas de África
AmaXhosa	Xhosa
Pieter Willem Botha	Pieter Willem Botha
Google Street View	Google Street View
Steve Biko	Steve Biko
IPhondo yaFreyistata	Estado Libre de Orange
Ibhanti	Belt
Umlungu	Blanco (persona)
U-Winnie Madikizela Mandela	Winnie Madikizela
Étienne Mourrut	Étienne Mourrut
FIFA	FIFA
U-Helen Zille	Helen Zille
UBilly Ocean	Billy Ocean
Marek Grechuta	Marek Grechuta
ULucky Dube	Lucky Dube
Mateyu	Evangelio de Mateo
Walter Sisulu	Walter Sisulu
Incwadi ka Mormoni	Libro de Mormón
I-Transkei	Transkei
Izifundo zoguqulo	Traductología
I-Freedom Front Plus	Frente de la Libertad
ULebu Mathosa	Lebo Mathosa
Mangosuthu Buthelezi	Gatsha Mangosutu Buthelezi
I-Yunivesithi yasePitoli	Universidad de Pretoria
E-UNISA	Universidad de Sudáfrica
Pigazzano	Pigazzano
Iinkonzo Zeelwimi Zesizwe	National Language Services
Ugqirha	Doctor en Medicina
E-Tiburon	Tiburón (California)
Kayamandi	Kayamandi
Mthatha	Mthatha
IYunivesithi yaseStellenbosch	Universidad de Stellenbosch
Nkosi sikelel iAfrika	Nkosi Sikelel' iAfrika
Saganaki	Saganaki
Category:IJamani	Categoría:Alemania
Category:UMzantsi Afrika	Categoría:Sudáfrica
Iilwimi zaseMzantsi Afrika	Idiomas de Sudáfrica
Category:ENetherlands	Categoría:Países Bajos
Category:ISyensya	Categoría:Ciencia
Ukucinezeleka kwamanina	Violencia contra la mujer
Qunu	Qunu
Category:Oluhlu	Categoría:Anexos
Template:Tl	Plantilla:Ep
Category:Amazwe	Categoría:Países
Wikipedia:Requests for adminship	Wikipedia:Candidaturas a bibliotecario
Category:Hidden categories	Categoría:Wikipedia:Categorías ocultas
I-Accounting	Contabilidad
Template:Bot	Plantilla:Bot
Template:Flagicon	Plantilla:Bandera
Template:Documentation	Plantilla:Documentación
Wikipedia:Community Portal	Portal:Comunidad
Category:User languages	Categoría:Wikipedia:Wikipedistas por idioma
Sung Jae-gi	Sung Jae-ki
IZenzo	Buenas obras
CTICC	Centro Internacional de Convenciones de Ciudad del Cabo
Template:Softredirect	Plantilla:Redirección suave
Template:Ukucima	Plantilla:Destruir
The Sims	Los Sims (saga)
Category:Ulwimi	Categoría:Lenguas
Category:Ikhalenda	Categoría:Calendarios
Category:Wikipedia	Categoría:Wikipedia
Wikipedia:General disclaimer	Wikipedia:Limitación general de responsabilidad
Wikipedia:Statistics	Wikipedia:Estadísticas
Template:!	Plantilla:!
