Nditbonj	Japón
Nozveih	Noruega
Aiwjlanz Gunghozgoz	Irlanda
Sihbanhyaz	España
Meijgoz	Estados Unidos
Giuznamh	Tierra
Vunz	Homo sapiens
Tim Berners-Lee	Tim Berners-Lee
Finlan	Finlandia
Nyeiqswq	Suiza
Dujwjgiz	Turquía
Yacouh	Asia
Namzgigcouh	Antártida
Veizgiek Bakgoh	Wikipedia
Niujyoz	Nueva York
Vazcingdonq	Washington D. C.
Dennauj	Computadora
Bahliz	París
Linzgenj	Abraham Lincoln
Fazgoz	Francia
Esperanto	Esperanto
Yinghgoz	Reino Unido
Cunghvaz Yinzminz Gunghozgoz	República Popular China
Vah Fazgoz	Idioma francés
Duzbya	Pisces
Bahsih	Brasil
Ezlozswh	Rusia
Ginghyiz	Cetacea
Haijhaek	Mar Negro
São Paulo	São Paulo
Dwzgoz	Alemania
Vah Dwzgoz	Idioma alemán
Feihgih	Avión
It	Uno
Ngeih	Dos
Sam	Tres
Seiq	Cuatro
Haj	Cinco
Lingz	Cero
Gwzlozdiya	Croacia
Ahsehbaiqgyangh	Azerbaiyán
Hahsazgwswhdanj	Kazajistán
Gujbah	Cuba
Yindunizsihya	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Raemx	Agua
Chile	Chile
Yesu	Jesús de Nazaret
Ndaundeiqhaemh	Venus (planeta)
Ciencwng	Dictadura
Ndaundeiqfaex	Júpiter (planeta)
Dahmbwn	Vía Láctea
Gohyoz	Ciencia
Soqyoz	Matemáticas
Ronghndwen	Luna
Audaihleihya	Australia
Hoengjlungz	Dinosauria
Lech Wałęsa	Lech Wałęsa
Simlingz	Mente
Sei	Poesía
Louis Pasteur	Louis Pasteur
Doeng Divwnq	Timor Oriental
Hwzdung	Agujero negro
Yangj	Oxígeno
Yinhyoz	Música
Moscow	Moscú
Saen Saelanz	Nueva Zelanda
Yindu	India
Diet	Hierro
William Shakespeare	William Shakespeare
Gyaz	Potasio
Mungzguj	Mongolia
Doengz	Cobre
Doenghgo	Plantae
Gwzlinznazdaz	Granada (país)
Massachusetts	Massachusetts
Mou	Sus scrofa domestica
Iran	Irán
Lao	Laos
Majlaizsihya	Malasia
Mienjdien	Birmania
Joseph Stalin	Iósif Stalin
Cunghvaz Minzgoz	República de China
Daigoz	Tailandia
Hojceh	Tren
Yiednamz	Vietnam
Hanzgoz	Corea del Sur
Gim	Oro
Feihlizbinh	Filipinas
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Baekging	Pekín
Ganggoj Minzcuj Gunghozgoz	República Democrática del Congo
Moq Dwzlij	Nueva Delhi
Nizywlihya	Nigeria
Charles Darwin	Charles Darwin
Gaejsa	Julio César
Dante	Dante Alighieri
Ngaenz	Plata
Banh Gihvwnz	Ban Ki-moon
Lwgmanh	Capsicum annuum
Non	Insecta
Giceh	Automóvil
Sagwzlwgbouh	Zagreb
Dunghgingh	Tokio
Astana	Astaná
Hahvaxnaz	La Habana
Vahyindi	Hindi
Neil Armstrong	Neil Armstrong
Vah Vuhwjduh	Urdu
Ho Chi Minh Si	Ciudad Ho Chi Minh
Cin Yesu Gauqbaiq	Verdadera Iglesia de Jesús
Vah Yinghgoz	Idioma inglés
Bangkok	Bangkok
Gizlungzpoh	Kuala Lumpur
Dong Hoi	Đồng Hới
Concepción	Concepción (Chile)
Lozmaj Daeqgoz	Imperio romano
Cukgiuz	Fútbol
Bahsihleihya	Brasilia
Santiago de Chile	Santiago de Chile
Canberrah	Canberra
Feiz	Fuego
Dah Ganghgoj	Río Congo
Ndaundeiqsauqbaet	Cometa
Yajgyadaz	Yakarta
Dah Yamajsenhoz	Río Amazonas
Kinshasa	Kinsasa
Dayoz	Universidad
Wikipedia:Sandbox	Wikipedia:Zona de pruebas
Osasco	Osasco
Curitiba	Curitiba
Gungjswj	Confucio
Marilyn Monroe	Marilyn Monroe
Le Corbusier	Le Corbusier
Geidoekgauq	Cristianismo
Duzroeg	Aves
Soujduh	Capital (política)
Vangz Yenfanh	Huang Xianfan
Cuenqsig	Diamante
Vah Nditbonj	Idioma japonés
Yiebdaeuz	Wikipedia:Portada
Adolf Butenandt	Adolph Butenandt
Saratov	Sarátov
Dahcangzgyangh	Yangtsé
Salvador Dalí	Salvador Dalí
Albrecht Dürer	Alberto Durero
Michelangelo	Miguel Ángel
Pablo Picasso	Pablo Picasso
Abu Nuwas	Abu Nuwas
Cervantes	Miguel de Cervantes
Mauz Cwzdungh	Mao Zedong
Goethe	Johann Wolfgang von Goethe
Saiyaem	Vagina
Cwzyoz	Filosofía
分类:Candidates for speedy deletion	Categoría:Wikipedia:Borrar (definitivo)
Fouzcwngfujcujyi	Anarquismo
Swyouzcujyi	Liberalismo
Hozmaj	Homero
Dahhwzlungzgyangh	Río Amur
Kālidāsa	Kalidasa
Lij Beg	Li Bai
Niels Bohr	Niels Bohr
Cigminzcujyi	Colonialismo
Minzcuj	Democracia
Cwngfuj	Gobierno
Caenz Hij Vuengz	Qin Shi Huang
Elizabeth I	Isabel I de Inglaterra
Hanciuz	Dinastía Han
Han Vujdaeq	Emperador Wu
Daiqgwzwj	Rabindranath Tagore
Ndei	Belleza
Jacques Cartier	Jacques Cartier
Christopher Columbus	Cristóbal Colón
James Cook	James Cook
Dahvangzhoz	Río Amarillo
Huhbizlez	Kublai Kan
Doengnamzya guekgya lenzmungz	Asociación de Naciones del Sudeste Asiático
Yinghlenzbangh	Mancomunidad de Naciones
Vah Swahili	Idioma suajili
Dunghgingh Dayoz	Universidad de Tokio
Vahgun	Idioma chino
Mbwnnamh	Naturaleza
Bwt	Pulmones
Heiqhaeuh	Clima
Gvangvuz	Mineral
Caenleix	Verdad
Banjgaiq goucauxlun	Tectónica de placas
Avicenna	Avicena
Rin	Roca
Haij Rongx	Tsunami
Vwnzyoz	Literatura
分类:Vwnzyoz	Categoría:Literatura
Hoengzlaeuzmoengh	Sueño en el pabellón rojo
Ahlijsanda Daihdaeq	Alejandro Magno
Gawqlujsw daihdaeq	Ciro II el Grande
Umar	Umar ibn al-Jattab
Bya	Montaña
Sunh Cunghsanh	Sun Yat-sen
Ayuzvuengz	Aśoka
Ahkezbah Daihdaeq	Akbar
Yanghgangj	Hong Kong
Lengx Can	Guerra Fría
Soujwj	Seúl
Sanghaij	Shanghái
Mingzci veizsaen	Restauración Meiji
Cingciuz	Dinastía Qing
Yiednamz cancwngh	Guerra de Vietnam
Euclid	Euclides
Henry Ford	Henry Ford
Moq Yenz	Mo Yan
James Watt	James Watt
Karl Marx	Karl Marx
Voltaire	Voltaire
Caiz	Conocimiento
James Clerk Maxwell	James Clerk Maxwell
Cij	Mama
Erwin Schrödinger	Erwin Schrödinger
Gojgaeqfangz	Mitología
Yenzgyaucijcujyi	Fundamentalismo
Hoenz	Alma
Vah Yiednamz	Idioma vietnamita
Sigmund Freud	Sigmund Freud
Vahdai	Idioma tailandés
Vah Yindunizsihya	Idioma indonesio
Vahvuhswhbiedkez	Idioma uzbeko
Fanhyiengh	Vientián
Hingzveiz	Comportamiento
Lauxcij	Lao-Tsé
Jean-Paul Sartre	Jean-Paul Sartre
Daep	Hígado
Sainyouh	Uretra
Cu Heih	Zhu Xi
Gamjcingz	Emoción
Simleixhag	Psicología
Swhsiengj	Pensamiento
Bienhcingqfap	Dialéctica
Muhamed	Mahoma
Lwnzleixyoz	Ética
Diemheiq	Respiración
Dauhgyau	Taoísmo
