非洲	África
日本	Japón
南美洲	América del Sur
挪威	Noruega
英倫	Inglaterra
蘇格蘭	Escocia
威爾斯	Gales
北愛爾蘭	Irlanda del Norte
愛爾蘭共和國	Irlanda
匈牙利	Hungría
西班牙	España
美國	Estados Unidos
比利時	Bélgica
盧森堡	Luxemburgo
宇宙	Universo
地球	Tierra
生命	Vida
死	Muerte
人	Homo sapiens
開心	Felicidad
佐治華盛頓	George Washington
李柏納	Tim Berners-Lee
Leet	Leet speak
寇比力克	Stanley Kubrick
瑪雅曆法	Calendario maya
維基數據	Wikidata
芬蘭	Finlandia
瑞典	Suecia
丹麥	Dinamarca
波蘭	Polonia
立陶宛	Lituania
意大利	Italia
瑞士	Suiza
奧地利	Austria
希臘	Grecia
土耳其	Turquía
啤酒	Cerveza
葡萄牙	Portugal
歐洲	Europa
亞洲	Asia
北美洲	América del Norte
南極洲	Antártida
維基百科	Wikipedia
荷蘭	Países Bajos
朘	Pene
PHP	PHP
紐約市	Nueva York
華盛頓特區	Washington D. C.
三藩市	San Francisco (California)
柏林	Berlín
洛杉磯	Los Ángeles
波音	Boeing
空中客車	Airbus
電腦	Computadora
伯恩	Berna
日內瓦	Ginebra
蘇黎世	Zúrich
互聯網	Internet
奧巴馬	Barack Obama
烏拉圭	Uruguay
巴塞爾	Basilea
列印機	Impresora
MediaWiki	MediaWiki
倫敦	Londres
開羅	El Cairo
頭刺	Cefalea
亞歷山大港	Alejandría
蘋果	Manzana
巴黎	París
林肯	Abraham Lincoln
Android	Android
Google	Google
墨西哥	México
大西洋	Océano Atlántico
太平洋	Océano Pacífico
加利福尼亞州	California
波士頓	Boston
Pneumonoultramicroscopicsilicovolcanoconiosis	Pneumonoultramicroscopicsilicovolcanoconiosis
星期一	Lunes
空間	Espacio (física)
1月	Enero
2月	Febrero
3月	Marzo
火星	Marte (planeta)
肯雅	Kenia
埃塞俄比亞	Etiopía
君主	Monarca
加納	Ghana
4月	Abril
5月	Mayo
6月	Junio
7月	Julio
8月	Agosto
9月	Septiembre
10月	Octubre
11月	Noviembre
12月	Diciembre
星期二	Martes
星期三	Miércoles
星期四	Jueves
星期五	Viernes
星期六	Sábado
星期日	Domingo
獅子	Panthera leo
法國	Francia
世界語	Esperanto
狗	Canis lupus familiaris
英國	Reino Unido
貓	Felis silvestris catus
中華人民共和國	República Popular China
法文	Idioma francés
維基辭典	Wikcionario
魚	Pisces
乙醇	Etanol
酒	Bebida alcohólica
巴西	Brasil
酒精	Alcohol
奧朗德	François Hollande
俄羅斯	Rusia
鯨魚	Cetacea
約郡	Yorkshire
正方形	Cuadrado
海	Mar
黑海	Mar Negro
圓周率	Número π
Π	Π
Wiki	Wiki
多倫多	Toronto
阿拉巴馬州	Alabama
聖保羅	São Paulo
聖保羅州	Estado de São Paulo
魁北克省	Quebec
意大利薄餅	Pizza
意式麪	Pasta
維基媒體基金會	Fundación Wikimedia
占美威爾斯	Jimmy Wales
德國	Alemania
白俄羅斯	Bielorrusia
德文	Idioma alemán
冰島	Islandia
上帝	Dios
愛沙尼亞	Estonia
甘民樂	David Cameron
土星	Saturno (planeta)
朱古力	Chocolate
車厘子	Cereza
飛機	Avión
打仗	Guerra
1	Uno
2	Dos
3	Tres
4	Cuatro
5	Cinco
0	Cero
無限大	Infinito
喬治布殊	George W. Bush
拉脫維亞	Letonia
烏克蘭	Ucrania
捷克	República Checa
斯洛伐克	Eslovaquia
斯洛文尼亞	Eslovenia
維爾紐斯	Vilna
摩爾多瓦	Moldavia
羅馬尼亞	Rumania
保加利亞	Bulgaria
羅馬	Roma
馬其頓共和國	República de Macedonia
阿爾巴尼亞	Albania
格陵蘭	Groenlandia
克羅地亞	Croacia
波斯尼亞	Bosnia y Herzegovina
努克	Nuuk
阿塞拜疆	Azerbaiyán
安道爾	Andorra
塞浦路斯	Chipre
格魯吉亞	Georgia
哈薩克	Kazajistán
馬耳他	Malta
摩納哥	Mónaco
黑山	Montenegro
梵蒂岡	Ciudad del Vaticano
聖馬連奴	San Marino
布魯塞爾	Bruselas
布魯塞爾首都區	Región de Bruselas-Capital
古巴	Cuba
伯利茲	Belice
巴黎鐵塔	Torre Eiffel
巴巴多斯	Barbados
勒士啤梨派	Raspberry Pi
福士汽車	Volkswagen
英特爾	Intel Corporation
鍵盤 (電腦)	Teclado (informática)
Java程式語言	Java (lenguaje de programación)
印尼	Indonesia
QWERTY鍵盤	Teclado QWERTY
莫札特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
土耳其話	Idioma turco
南非共和國	Sudáfrica
Linkin Park	Linkin Park
阿爾及利亞	Argelia
維基文庫	Wikisource
颶風珊迪	Huracán Sandy
月即別	Uzbekistán
塔什干	Taskent
華沙	Varsovia
威士忌	Whisky
葡萄酒	Vino
水	Agua
干邑	Coñac
真皮	Cuero
木	Madera
電視	Televisión
性	Sexo
鹹濕	Pornografía
冰島文	Idioma islandés
莫奈	Claude Monet
委拉斯蓋茲	Diego Velázquez
智利	Chile
耶穌	Jesús de Nazaret
皮禮士利	Elvis Presley
體罰	Castigo físico
伽利略	Galileo Galilei
水星	Mercurio (planeta)
歷史	Historia
蘋果公司	Apple
金星	Venus (planeta)
語言	Lenguaje
愛	Amor
專政	Dictadura
星系	Galaxia
木星	Júpiter (planeta)
巴切萊特	Michelle Bachelet
銀河	Vía Láctea
宇宙大爆炸	Teoría del Big Bang
天王星	Urano (planeta)
英文維基百科	Wikipedia en inglés
薩爾科齊	Nicolas Sarkozy
海王星	Neptuno (planeta)
天文	Astronomía
星架坡	Singapur
科學	Ciencia
冥王星	Plutón (planeta enano)
滿地可	Montreal
自由軟件	Software libre
聖母瑪利亞	María (madre de Jesús)
列支敦士登	Liechtenstein
運動	Deporte
劍橋	Cambridge
希特拉	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
阿桑奇	Julian Assange
第一次世界大戰	Primera Guerra Mundial
第二次世界大戰	Segunda Guerra Mundial
第三次世界大戰	Tercera Guerra Mundial
古龍 (德國)	Colonia (Alemania)
維基書本	Wikilibros
維基語錄	Wikiquote
維基學府	Wikiversidad
維基遊埠	Wikiviajes
伏特加	Vodka
格仔餅	Gofre
鐘	Reloj
Ubuntu	Ubuntu
斯科普里	Skopie
數學	Matemáticas
拉丁話	Latín
巴林	Baréin
亞美尼亞	Armenia
楔形字	Escritura cuneiforme
希格斯玻色子	Bosón de Higgs
塞爾維亞	Serbia
月光	Luna
伊斯坦堡	Estambul
澳洲	Australia
物理	Física
阿根廷	Argentina
秘魯	Perú
生物學	Biología
不明飛行物體	Objeto volador no identificado
朝鮮民主主義人民共和國	Corea del Norte
柬埔寨	Camboya
柯伊伯帶	Cinturón de Kuiper
可蘭經	Corán
恐龍	Dinosauria
動物學	Zoología
回敎	Islam
梨	Pyrus
盧布爾雅那	Liubliana
植物學	Botánica
Lech Wałęsa	Lech Wałęsa
轆	Rueda
狄德羅	Denis Diderot
心智	Mente
和平 (關係)	Paz
不列顛百科全書	Enciclopedia Británica
里昂	Lyon
歐洲聯盟	Unión Europea
萬維網	World Wide Web
女人	Mujer
索菲亞	Sofía
唐吉訶德	Don Quijote de la Mancha
詩	Poesía
MegaUpload	Megaupload
切爾諾貝爾核災	Accidente de Chernóbil
米蘭	Milán
友情	Amistad
拖連奴	Turín
屎	Excremento
屎窟竉	Ano
胳肋底	Axila
檸檬	Citrus × limon
波德萊爾	Charles Baudelaire
666年	666
花	Flor
Googol	Gúgol
Googolplex	Gúgolplex
馬里亞納海溝	Fosa de las Marianas
珠穆朗瑪峰	Monte Everest
解剖學	Anatomía
城市	Ciudad
拿破崙	Napoleón Bonaparte
Shit	Mierda
奧林匹斯山 (火星)	Monte Olimpo (Marte)
恆星	Estrella
太陽	Sol
天	Cielo
巴士德	Louis Pasteur
光年	Año luz
村	Pueblo (población rural)
雨果	Victor Hugo
大洋洲	Oceanía
田徑	Atletismo
太陽系	Sistema Solar
波羅的海	Mar Báltico
香榭麗舍大道	Avenida de los Campos Elíseos
氫	Hidrógeno
氦	Helio
人牙	Diente
地獄	Infierno
維基同享	Wikimedia Commons
默克爾	Angela Merkel
鋰	Litio
鈹	Berilio
音響喇叭	Altavoz
書	Libro
日 (曆法)	Día
東帝汶	Timor Oriental
夜晚	Noche
年	Año
世紀	Siglo
白朗峰	Mont Blanc
萊茵河	Rin
奧斯陸	Oslo
波恩	Bonn
卡托維治	Katowice
黑洞	Agujero negro
賈梅士	Luís de Camões
基佬	Gay
穀神星	Ceres (planeta enano)
里斯本	Lisboa
妊神星	Haumea (planeta enano)
鳥神星	Makemake (planeta enano)
性交	Comportamiento sexual humano
鬩神星	Eris (planeta enano)
杜拜	Dubái
美斯	Lionel Messi
硼	Boro
哥白尼	Nicolás Copérnico
碳	Carbono
迪比亞路	Alessandro Del Piero
伏加河	Volga
氮	Nitrógeno
氧	Oxígeno
國際米蘭	Inter de Milán
行星	Planeta
埃及妖后	Cleopatra VII
音樂	Música
威尼斯	Venecia
火影忍者	Naruto
波河	Po
沙姆沙伊赫	Sharm el-Sheij
莫斯科	Moscú
氟	Flúor
意大利話	Idioma italiano
芝娃娃	Chihuahueño (perro)
氖	Neón
芝華華州	Chihuahua
聖彼得堡	San Petersburgo
